step,fixed_loss,fixed_loss_pde,fixed_loss_ic,fixed_loss_bc,fixed_residual_log_rms,fixed_residual_log_abs_mean,fixed_residual_log_abs_p95,fixed_residual_log_abs_max,rms_dlogN_dt,rms_advective,rms_mu,rms_dg_dw,log_N_eval_min,log_N_eval_max,N_eval_min,N_eval_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,dg_dw_min,dg_dw_max,fixed_loss_unweighted,fixed_w_pde,fixed_w_ic,fixed_w_bc,fixed_weighted_loss_pde,fixed_weighted_loss_ic,fixed_weighted_loss_bc,fixed_loss_weighted,bc_eps,flux_left_min,flux_left_max,recruitment_flux_min,recruitment_flux_max,frac_flux_left_clamped,frac_recruitment_flux_clamped,boundary_residual_abs_p95,boundary_residual_abs_max,flux_left_mean,recruitment_flux_mean,flux_mismatch_rms,flux_mismatch_abs_mean,flux_mismatch_abs_p95,flux_mismatch_rel_abs_mean,boundary_residual_rms,grad_norm_pde,grad_norm_ic,grad_norm_bc,grad_abs_max_pde,grad_abs_mean_pde,grad_abs_max_ic,grad_abs_mean_ic,grad_abs_max_bc,grad_abs_mean_bc,grad_norm_max_min_ratio
1,8832.08881555365,0.7636110033911636,9.48313301833696,8821.842071531923,0.8738483869591817,0.806110597198633,1.1886402554081559,1.193434617268875,0.0026477309673336442,0.0011908538115152519,0.1872716494461276,0.7124256853969275,13.804587375480489,13.927730729810365,989136.258847634,1118759.1527987544,0.0,3.7293673617218754,0.187059572329123,0.19076553882780395,-0.5187189075944898,1.0100309392419646,8832.08881555365,,,,,,,,1e-30,0.0,0.0,58913685156.82868,64943356240.67306,1.0,0.0,93.96934007448468,93.97433407428552,0.0,61822434515.61071,61848897547.1019,61822434515.61071,64619927583.19017,1.0,93.92466167909215,0.17514893755700764,2.9686620986088905,436.1608402559811,0.035241705305412666,0.0011632739836809364,0.6230726900537695,0.01998993540476776,172.11298940677636,2.703335936784814,2490.228295641354
2,8821.03325870967,0.7542687330752824,9.315383621507754,8810.963606355086,0.8684864610777087,0.8012202375563137,1.1825056795238398,1.1866859061295711,0.0022533918984677685,0.007134279809116078,0.18725843142272408,0.7124256853969277,13.749998006433257,13.947286111723304,936587.291081418,1140852.2305345882,0.0,3.729367361721952,0.187059572329123,0.19050618821223286,-0.5187189075944798,1.0100309392419646,8821.03325870967,,,,,,,,1e-30,0.0,0.0,56144332375.724396,60799548740.171524,1.0,0.0,93.90399185465873,93.90840099367571,0.0,58334709979.12985,58351401524.49927,58334709979.12985,60532130382.42912,1.0,93.86673322511595,0.17614082737039374,2.9347879439453037,440.2381980559892,0.03696286244638822,0.0011597679894595472,0.6446725971552669,0.01964333796705286,172.8941058186448,2.714345457288804,2499.353526540694
3,8810.660931836062,0.7449668563239153,9.150802857574197,8800.765162122165,0.8631146252520087,0.7963141307623163,1.1755391095375054,1.1802575077163346,0.001905909188483164,0.013063671401237365,0.1872468382091949,0.7124256853969282,13.698778136243435,13.97145251529107,889823.2586877263,1168758.3632613518,0.0,3.7293673617220446,0.187059572329123,0.19028109302010224,-0.5187189075944669,1.0100309392419646,8810.660931836062,,,,,,,,1e-30,0.0,0.0,53661672786.590614,57161419224.42982,1.0,0.0,93.84281581041996,93.84669780850004,0.0,55243617087.92245,55253578606.418755,55243617087.92245,56939995945.69867,1.0,93.8123934356339,0.18042266362815157,2.9688616786068436,446.6031529292063,0.03870041249735549,0.0011779747431217632,0.6674638783466253,0.019812016284243814,173.57991658093076,2.7496299195680662,2475.316259877688
4,8800.639160676645,0.7355326872990885,8.985773277679488,8790.917854711666,0.8576320232472016,0.7913010134672137,1.1686217571883035,1.1738780256830725,0.0015991460736255226,0.019082848345629497,0.1872363265035721,0.7124256853969286,13.64916158649564,13.999795387570632,846750.6907921602,1202358.2415531725,0.0,3.7293673617221677,0.187059572329123,0.1900792623539731,-0.518718907594453,1.0100309392419646,8800.639160676645,,,,,,,,1e-30,0.0,0.0,51358360911.5196,53865608773.21034,1.0,0.0,93.783912409549,93.78731084488263,0.0,52414223402.514015,52419639380.45008,52414223402.514015,53682894316.55058,1.0,93.7598947029681,0.18779822365005908,3.063221616712207,455.19821976930376,0.04053487973874641,0.0012097009382024929,0.6922777033298496,0.02029115402929694,174.201730800787,2.8041055779656414,2423.8686123970724
5,8790.794843905678,0.7258160655544347,8.81704797044917,8781.251979869674,0.8519483937155082,0.7860993565992078,1.1616392920575092,1.16727091064473,0.0013237092293587496,0.025299628717714007,0.18722661568405144,0.7124256853969291,13.600436085692284,14.032634164693823,806481.3774403544,1242497.6737202485,0.0,3.7293673617223106,0.187059572329123,0.18989428358911406,-0.5187189075944377,1.0100309392419646,8790.794843905678,,,,,,,,1e-30,0.0,0.0,49190707495.72315,50816469231.94824,1.0,0.0,93.7261095385833,93.72903912629087,0.0,49777581847.3994,49780041977.49535,49777581847.3994,50667839008.01689,1.0,93.70833463395705,0.1979387595520012,3.2093619110915608,465.96725257012935,0.042514390698301804,0.0012596966102611897,0.7198117787228389,0.021108475870498758,174.77553224017646,2.881797094918753,2354.0980736908855
6,8780.958759552203,0.7156869307395387,8.641981481490983,8771.601091139972,0.8459828194115638,0.7806356620497853,1.1539975710209913,1.1603358269330752,0.0010792064858088878,0.03180965147463535,0.18721748116936918,0.7124256853969297,13.549631470987364,14.0702052626306,766531.8055758202,1290067.7090945248,0.0,3.72936736172249,0.187059572329123,0.18972129327977028,-0.5187189075944193,1.0100309392419646,8780.958759552203,,,,,,,,1e-30,0.0,0.0,47038893874.789276,47939718542.18955,1.0,0.0,93.66830863793878,93.67076298471359,0.0,47276990756.870316,47277766328.3568,47276990756.870316,47822217181.260994,1.0,93.65682618549474,0.21043898814730969,3.3983108036964476,478.7882809502808,0.04464501645712311,0.001324123628486301,0.7501501453311369,0.022128539535515163,175.31415488713057,2.9752227245165184,2275.1880968707355
7,8770.955083710798,0.7050209815495413,8.45825846213258,8761.791804267115,0.8396552754253029,0.7748366096057029,1.1459415680177478,1.1529835302189755,0.0008807453700647315,0.03870521711409685,0.18720873540299224,0.7124256853969305,13.492328092053505,14.11272559654987,723841.7658703955,1346104.7327851169,0.0,3.7293673617226926,0.187059572329123,0.1895565034830941,-0.518718907594399,1.0100309392419646,8770.955083710798,,,,,,,,1e-30,0.0,0.0,44708708689.10296,45176093120.951416,1.0,0.0,93.60995361516876,93.61138666042872,0.0,44863716746.88952,44863930673.890175,44863716746.88952,45111400313.577126,1.0,93.60444329339882,0.22494123141451525,3.62229146060911,493.58638795648744,0.046918022506752685,0.001400052365727107,0.7829934501202436,0.023310174714076835,175.82828037623565,3.090256248344182,2194.290414668001
8,8760.648171382578,0.6937121313276713,8.263964542788289,8751.690494708462,0.8328938295651321,0.7686355290122995,1.1375347288277988,1.1451647049206024,0.0007671460579969668,0.04606936296907888,0.18720026097309725,0.7124256853969313,13.429642552897867,14.160534519608763,679860.2578676837,1412023.753673494,0.0,3.7293673617229315,0.187059572329123,0.1894356029826093,-0.5187189075943734,1.0100309392419646,8760.648171382578,,,,,,,,1e-30,0.0,0.0,42275351958.41535,43129004323.92605,1.0,0.0,93.56236273317877,93.56501435169679,0.0,42506986619.20491,42507710352.07345,42506986619.20491,43014810084.76685,1.0,93.55047030725427,0.24114418793683845,3.87497259693435,510.2867919309843,0.04932678200013185,0.0014840783012354285,0.8181509389605289,0.024621589236680758,176.32438192342713,3.218226624722424,2116.1065348364973
9,8749.917687210414,0.6816641909025132,8.057442871461541,8741.178580148051,0.8256295724491178,0.7619677967784646,1.1283683342901496,1.1370344225468072,0.0007900684174307763,0.05398089899858653,0.1871919780367095,0.7124256853969323,13.361907036420696,14.214031030425351,635334.5797902714,1489619.133916332,0.0,3.7293673617232206,0.187059572329123,0.18931986010189225,-0.5187189075943448,1.0100309392419646,8749.917687210414,,,,,,,,1e-30,0.0,0.0,39780838370.33442,41167188306.579124,1.0,0.0,93.51471129634689,93.51846016550229,0.0,40185574553.84378,40187879760.14346,40185574553.84378,41013177583.36578,1.0,93.49427030651692,0.2588094586668154,4.151349107915756,528.8155305063035,0.05264094421638767,0.001576844210077528,0.8556516146154153,0.02602696656999669,176.80662738187283,3.3569270524517227,2043.2619937089974
10,8738.696938715242,0.6692843399411562,7.84649878062896,8730.181155594672,0.8180980014284085,0.7550520027350333,1.119184110228343,1.1286133334480517,0.0009530131888907704,0.062193501885863,0.18718386372478882,0.7124256853969333,13.28948552820629,14.269030674321504,590949.3131781599,1573842.5549288504,0.0,3.729367361723526,0.187059572329123,0.1892050030171856,-0.5187189075943146,1.0100309392419646,8738.696938715242,,,,,,,,1e-30,0.0,0.0,37259077274.328064,39207801872.2008,1.0,0.0,93.46480390893849,93.46969438111294,0.0,37892274438.79619,37897190496.71811,37892274438.79619,39016575453.97957,1.0,93.43543843528894,0.27684657252680434,4.430949330056317,548.3124584588298,0.056204966666206696,0.0016719043745310118,0.8913780829151691,0.02747126334933464,177.27604756000284,3.4995541557147556,1980.5643734518046
