rank,run_name,run_dir,task_id,scheme_name,group,history_metric,comparison_step,recorded_step_used,standardised_loss,final_step,final_loss
1,20260618_202425_592055_job3052741_task27,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_202425_592055_job3052741_task27,27,ntime_128_neval_60,time_eval,fixed_loss,15000,14000,0.0009526354105984,14000,0.0009526354105984
2,20260618_172910_317356_job3054724_task16,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_172910_317356_job3054724_task16,16,chunks_128,chunks,fixed_loss,15000,14000,0.0009923890431487,14000,0.0009923890431487
3,20260618_160933_784141_job3054149_task11,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_160933_784141_job3054149_task11,11,eps_10,epsilon,fixed_loss,15000,14000,0.0010192572688961,14000,0.0010192572688961
4,20260618_201919_320539_job3056825_task26,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_201919_320539_job3056825_task26,26,ntime_96_neval_60,time_eval,fixed_loss,15000,14000,0.0011616080676806,14000,0.0011616080676806
5,20260618_183638_159242_job3055116_task21,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_183638_159242_job3055116_task21,21,ntime_32_neval_30,time_eval,fixed_loss,15000,14000,0.0012189044713017,14000,0.0012189044713017
6,20260618_171005_999553_job3054619_task15,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_171005_999553_job3054619_task15,15,chunks_64,chunks,fixed_loss,15000,14000,0.0012635325096668,14000,0.0012635325096668
7,20260618_153240_095692_job3053763_task8,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_153240_095692_job3053763_task8,8,eps_0p5,epsilon,fixed_loss,15000,14000,0.0013271412878557,14000,0.0013271412878557
8,20260618_151856_827265_job3053294_task6,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_151856_827265_job3053294_task6,6,eps_0p05,epsilon,fixed_loss,15000,14000,0.0014153638471479,14000,0.0014153638471479
9,20260618_190828_674839_job3055279_task22,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_190828_674839_job3055279_task22,22,ntime_96_neval_30,time_eval,fixed_loss,15000,14000,0.0014721590091868,14000,0.0014721590091868
10,20260618_153345_745405_job3053762_task7,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_153345_745405_job3053762_task7,7,eps_0p1,epsilon,fixed_loss,15000,14000,0.0015283956306086,14000,0.0015283956306086
11,20260618_142826_451559_job3052743_task0,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_142826_451559_job3052743_task0,0,baseline,baseline,fixed_loss,15000,14000,0.001546530731485,14000,0.001546530731485
12,20260618_190857_287004_job3055280_task23,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_190857_287004_job3055280_task23,23,ntime_128_neval_30,time_eval,fixed_loss,15000,14000,0.0016427593309701,14000,0.0016427593309701
13,20260618_154444_495791_job3054009_task9,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_154444_495791_job3054009_task9,9,eps_2,epsilon,fixed_loss,15000,14000,0.0016444322845547,14000,0.0016444322845547
14,20260618_144022_880130_job3052745_task2,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_144022_880130_job3052745_task2,2,linear_curriculum_only,control,fixed_loss,15000,14000,0.0016523989589953,14000,0.0016523989589953
15,20260618_174402_593333_job3054876_task19,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_174402_593333_job3054876_task19,19,lr_1e-3,lr,fixed_loss,15000,14000,0.0018150176632861,14000,0.0018150176632861
16,20260618_191334_465411_job3055325_task24,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_191334_465411_job3055325_task24,24,ntime_36_neval_15,time_eval,fixed_loss,15000,14000,0.0020584312341254,14000,0.0020584312341254
17,20260618_170608_594524_job3054597_task14,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_170608_594524_job3054597_task14,14,chunks_16,chunks,fixed_loss,15000,14000,0.0021524727080112,14000,0.0021524727080112
18,20260618_165026_733056_job3054520_task12,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_165026_733056_job3054520_task12,12,chunks_4,chunks,fixed_loss,15000,14000,0.0021958959396963,14000,0.0021958959396963
19,20260618_165302_980973_job3054539_task13,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_165302_980973_job3054539_task13,13,chunks_8,chunks,fixed_loss,15000,14000,0.0022008839833719,14000,0.0022008839833719
20,20260618_201359_656076_job3056801_task25,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\ABLATION_RUNS\single_other_archs\20260618_201359_656076_job3056801_task25,25,ntime_36_neval_60,time_eval,fixed_loss,15000,14000,0.0022238005111208,14000,0.0022238005111208
