run_time,date,run_name,run_dir,source,task_id,status,compare_step,standardised_step_used,standardised_loss,eligible_standardised,final_fixed_step,final_fixed_loss,n_steps_completed,input_dir,n_steps,n_time,n_eval,lr,lr_scheduler,lr_min,model_arch,hidden_width,hidden_layers,fourier_num_features,fourier_scale,fourier_include_raw_input,weight_factorization,rwf_mu,rwf_sigma,rwf_apply_to,rwf_base_init,residual_form,state_parameterization,pde_penalty,boundary_loss_form,bc_penalty,loss_weighting,time_sampling,causal_loss,causal_curriculum,causal_epsilon,causal_n_chunks,collocation_strategy,lambda_pde,lambda_ic,lambda_bc,lambda_timestep,seed
2026-05-07 08:53:09.000000,2026-05-07,20260507_085309,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260507_085309,Development runs,,unknown,20000,,,False,,,,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,
2026-05-07 10:17:05.000000,2026-05-07,20260507_101705,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260507_101705,Development runs,,unknown,20000,,,False,,,,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,
2026-05-07 10:20:25.000000,2026-05-07,20260507_102025,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260507_102025,Development runs,,unknown,20000,,,False,,,,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,
2026-05-07 10:25:23.000000,2026-05-07,20260507_102523,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260507_102523,Development runs,,unknown,20000,,,False,,,,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,
2026-05-11 17:28:28.000000,2026-05-11,20260511_172828,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260511_172828,Development runs,,unknown,20000,,,False,,,,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,
2026-05-11 17:42:18.000000,2026-05-11,20260511_174218,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260511_174218,Development runs,,unknown,20000,,,False,,,,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,
2026-05-12 13:01:22.000000,2026-05-12,20260512_130122,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260512_130122,Development runs,,unknown,20000,,,False,,,,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,
2026-05-12 16:59:30.000000,2026-05-12,20260512_165930,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260512_165930,Development runs,,unknown,20000,,,False,,,,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,
2026-05-13 10:31:08.000000,2026-05-13,20260513_103108,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260513_103108,Development runs,,unknown,20000,,,False,,,,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,
2026-05-13 10:34:35.000000,2026-05-13,20260513_103435,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260513_103435,Development runs,,unknown,20000,,,False,2000.0,1666.3121559553972,2000.0,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,,,,,,,,,,,,,,
2026-05-14 12:38:00.000000,2026-05-14,20260514_123800,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260514_123800,Development runs,,unknown,20000,,,False,,,,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,,,,,,,,,
2026-05-14 12:39:10.000000,2026-05-14,20260514_123910,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260514_123910,Development runs,,unknown,20000,,,False,2000.0,2120.5107831933665,2000.0,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,,,,,,,,,
2026-05-14 12:41:12.000000,2026-05-14,20260514_124112,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260514_124112,Development runs,,unknown,20000,,,False,8000.0,1965.6519827476693,8000.0,py_inputs_ns_first_species,8000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,,,,,,,,,
2026-05-14 15:16:49.000000,2026-05-14,20260514_151649,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260514_151649,Development runs,,unknown,20000,,,False,8000.0,1636.407816703576,8000.0,py_inputs_ns_first_species,8000.0,16.0,80.0,0.0002,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,,,,,,,,,
2026-05-15 11:38:36.000000,2026-05-15,20260515_113836,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260515_113836,Development runs,,unknown,20000,,,False,2000.0,296.8465445135717,2000.0,py_inputs_ns_first_species,2000.0,10.0,30.0,0.001,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,linear,,,,,,,,
2026-05-15 12:07:05.000000,2026-05-15,20260515_120705,C:\Users\LB19\OneDrive - CEFAS\Work\mizerPINN2\runs\pde_only_single_species\20260515_120705,Development runs,,unknown,20000,,,False,5000.0,481.4173461204449,5000.0,py_inputs_ns_first_species,5000.0,16.0,30.0,0.0003,,,,64.0,3.0,,,,,,,,,log,,,log,,,,,linear,,,,,,,,
