"obs_type","species_idx","gear_idx","t_start","t_end","value","cv"
"catch_gear",0,4,0,1,3804537766.58858,0.3
"catch_gear",1,4,0,1,79548451912.2367,0.3
"catch_gear",2,4,0,1,4835527343.28758,0.3
"catch_gear",3,1,0,1,295979580265.977,0.3
"catch_gear",3,4,0,1,28031130788.1839,0.3
"catch_gear",4,2,0,1,3678604007.67493,0.3
"catch_gear",4,4,0,1,165666836.291497,0.3
"catch_gear",5,3,0,1,189048998041.071,0.3
"catch_gear",5,4,0,1,2185696747.59674,0.3
"catch_gear",6,2,0,1,34948011559.9424,0.3
"catch_gear",6,4,0,1,2539848288.28959,0.3
"catch_gear",7,3,0,1,16960811405.6777,0.3
"catch_gear",7,4,0,1,344884606.985858,0.3
"catch_gear",8,2,0,1,160135125459.613,0.3
"catch_gear",8,4,0,1,15252650157.5116,0.3
"catch_gear",9,3,0,1,270418449709.745,0.3
"catch_gear",9,4,0,1,5849092424.66364,0.3
"catch_gear",10,3,0,1,759058874301.16,0.3
"catch_gear",10,4,0,1,6499094110.0871,0.3
"catch_gear",11,3,0,1,476676086551.878,0.3
"catch_gear",11,4,0,1,6754052203.08765,0.3
"catch_gear",0,4,3,4,2826247887.40404,0.3
"catch_gear",1,4,3,4,74117865307.0511,0.3
"catch_gear",2,4,3,4,3813836266.73413,0.3
"catch_gear",3,1,3,4,616216044964.737,0.3
"catch_gear",3,4,3,4,33344320831.9276,0.3
"catch_gear",4,2,3,4,4102368946.04983,0.3
"catch_gear",4,4,3,4,177121007.572431,0.3
"catch_gear",5,3,3,4,77261795863.6422,0.3
"catch_gear",5,4,3,4,1423025067.8837,0.3
"catch_gear",6,2,3,4,54459351455.6449,0.3
"catch_gear",6,4,3,4,3013603013.79855,0.3
"catch_gear",7,3,3,4,4710392677.42249,0.3
"catch_gear",7,4,3,4,125080945.814543,0.3
"catch_gear",8,2,3,4,328698499377.883,0.3
"catch_gear",8,4,3,4,20137401695.8155,0.3
"catch_gear",9,3,3,4,163101427197.774,0.3
"catch_gear",9,4,3,4,3557795320.57122,0.3
"catch_gear",10,3,3,4,343250147458.234,0.3
"catch_gear",10,4,3,4,4612708590.34196,0.3
"catch_gear",11,3,3,4,439808374495.383,0.3
"catch_gear",11,4,3,4,8860555718.34027,0.3
"catch_gear",0,4,6,7,2277799868.43383,0.3
"catch_gear",1,4,6,7,72348433532.6028,0.3
"catch_gear",2,4,6,7,4494637580.49768,0.3
"catch_gear",3,1,6,7,659836151531.778,0.3
"catch_gear",3,4,6,7,36951039937.0207,0.3
"catch_gear",4,2,6,7,3832153947.68546,0.3
"catch_gear",4,4,6,7,163871233.955397,0.3
"catch_gear",5,3,6,7,91324532183.607,0.3
"catch_gear",5,4,6,7,1357556893.32793,0.3
"catch_gear",6,2,6,7,46277474283.8789,0.3
"catch_gear",6,4,6,7,2566334695.12979,0.3
"catch_gear",7,3,6,7,3747441146.387,0.3
"catch_gear",7,4,6,7,82744100.8727239,0.3
"catch_gear",8,2,6,7,334900401014.46,0.3
"catch_gear",8,4,6,7,22059408768.3657,0.3
"catch_gear",9,3,6,7,257166977748.744,0.3
"catch_gear",9,4,6,7,5590282135.15961,0.3
"catch_gear",10,3,6,7,363623158094.448,0.3
"catch_gear",10,4,6,7,5212942650.16193,0.3
"catch_gear",11,3,6,7,199932901646.921,0.3
"catch_gear",11,4,6,7,7329527682.23462,0.3
"catch_gear",0,4,9,10,2242324421.48356,0.3
"catch_gear",1,4,9,10,69104468681.4087,0.3
"catch_gear",2,4,9,10,4850929535.09394,0.3
"catch_gear",3,1,9,10,505416617772.395,0.3
"catch_gear",3,4,9,10,33479387928.3012,0.3
"catch_gear",4,2,9,10,3711792807.91185,0.3
"catch_gear",4,4,9,10,161153862.895037,0.3
"catch_gear",5,3,9,10,111205206902.384,0.3
"catch_gear",5,4,9,10,1792256586.775,0.3
"catch_gear",6,2,9,10,39312089333.9844,0.3
"catch_gear",6,4,9,10,2311831043.54126,0.3
"catch_gear",7,3,9,10,1792207483.68495,0.3
"catch_gear",7,4,9,10,59962269.1720451,0.3
"catch_gear",8,2,9,10,351038962811.58,0.3
"catch_gear",8,4,9,10,22927599821.0157,0.3
"catch_gear",9,3,9,10,128446599006.375,0.3
"catch_gear",9,4,9,10,5067529368.61574,0.3
"catch_gear",10,3,9,10,298898146582.671,0.3
"catch_gear",10,4,9,10,4492825657.49833,0.3
"catch_gear",11,3,9,10,361545583546.809,0.3
"catch_gear",11,4,9,10,5958130388.13889,0.3
"catch_gear",0,4,12,13,1790094840.82692,0.3
"catch_gear",1,4,12,13,66277564870.0434,0.3
"catch_gear",2,4,12,13,3712247817.94475,0.3
"catch_gear",3,1,12,13,567099789905.102,0.3
"catch_gear",3,4,12,13,30723233841.5126,0.3
"catch_gear",4,2,12,13,3262062981.21627,0.3
"catch_gear",4,4,12,13,141766880.298786,0.3
"catch_gear",5,3,12,13,78326716639.551,0.3
"catch_gear",5,4,12,13,1373395000.19107,0.3
"catch_gear",6,2,12,13,39117420834.0797,0.3
"catch_gear",6,4,12,13,2193033585.40568,0.3
"catch_gear",7,3,12,13,637840686.573396,0.3
"catch_gear",7,4,12,13,18073486.9924266,0.3
"catch_gear",8,2,12,13,380459378539.256,0.3
"catch_gear",8,4,12,13,22437544988.0693,0.3
"catch_gear",9,3,12,13,175222942516.677,0.3
"catch_gear",9,4,12,13,3572313884.19517,0.3
"catch_gear",10,3,12,13,338121669603.765,0.3
"catch_gear",10,4,12,13,4652137785.32611,0.3
"catch_gear",11,3,12,13,351453198372.336,0.3
"catch_gear",11,4,12,13,9320197653.86765,0.3
"catch_gear",0,4,15,16,2095606858.94211,0.3
"catch_gear",1,4,15,16,69501086832.762,0.3
"catch_gear",2,4,15,16,4987532348.68973,0.3
"catch_gear",3,1,15,16,607612702413.123,0.3
"catch_gear",3,4,15,16,37030084226.4155,0.3
"catch_gear",4,2,15,16,3544078265.61477,0.3
"catch_gear",4,4,15,16,152107806.99613,0.3
"catch_gear",5,3,15,16,103748016265.662,0.3
"catch_gear",5,4,15,16,1525484513.70195,0.3
"catch_gear",6,2,15,16,38096145439.8343,0.3
"catch_gear",6,4,15,16,2275491861.21932,0.3
"catch_gear",7,3,15,16,766478416.708282,0.3
"catch_gear",7,4,15,16,17920910.1377684,0.3
"catch_gear",8,2,15,16,361545740428.167,0.3
"catch_gear",8,4,15,16,24270863513.6746,0.3
"catch_gear",9,3,15,16,233511383017.484,0.3
"catch_gear",9,4,15,16,6271970212.41027,0.3
"catch_gear",10,3,15,16,338608835641.606,0.3
"catch_gear",10,4,15,16,5089760168.65596,0.3
"catch_gear",11,3,15,16,185226588520.206,0.3
"catch_gear",11,4,15,16,6028889937.96685,0.3
"catch_gear",0,4,18,19,1964158751.8236,0.3
"catch_gear",1,4,18,19,65357979860.4058,0.3
"catch_gear",2,4,18,19,4200908030.6628,0.3
"catch_gear",3,1,18,19,468882679506.672,0.3
"catch_gear",3,4,18,19,29824489846.3359,0.3
"catch_gear",4,2,18,19,3381170580.47306,0.3
"catch_gear",4,4,18,19,148169868.73601,0.3
"catch_gear",5,3,18,19,99940747914.4392,0.3
"catch_gear",5,4,18,19,1726833947.28243,0.3
"catch_gear",6,2,18,19,36894193702.0144,0.3
"catch_gear",6,4,18,19,2151587984.24408,0.3
"catch_gear",7,3,18,19,254797732.696072,0.3
"catch_gear",7,4,18,19,9610246.91084569,0.3
"catch_gear",8,2,18,19,368493640921.165,0.3
"catch_gear",8,4,18,19,22502645206.2376,0.3
"catch_gear",9,3,18,19,104774739498.902,0.3
"catch_gear",9,4,18,19,3888863124.67811,0.3
"catch_gear",10,3,18,19,295848583608.308,0.3
"catch_gear",10,4,18,19,4259281837.56915,0.3
"catch_gear",11,3,18,19,459010539256.85,0.3
"catch_gear",11,4,18,19,7580927813.57627,0.3
"catch_gear",0,4,21,22,1786728148.40009,0.3
"catch_gear",1,4,21,22,67120303280.6486,0.3
"catch_gear",2,4,21,22,3968625809.06917,0.3
"catch_gear",3,1,21,22,628970011104.197,0.3
"catch_gear",3,4,21,22,33499778935.2946,0.3
"catch_gear",4,2,21,22,3237845684.66143,0.3
"catch_gear",4,4,21,22,139478304.173536,0.3
"catch_gear",5,3,21,22,77840323759.0983,0.3
"catch_gear",5,4,21,22,1258937140.75283,0.3
"catch_gear",6,2,21,22,38876826100.4736,0.3
"catch_gear",6,4,21,22,2207453750.13943,0.3
"catch_gear",7,3,21,22,167194337.188003,0.3
"catch_gear",7,4,21,22,3727992.29998134,0.3
"catch_gear",8,2,21,22,384401517865.017,0.3
"catch_gear",8,4,21,22,23521235832.6749,0.3
"catch_gear",9,3,21,22,242967613989.159,0.3
"catch_gear",9,4,21,22,4542777778.9577,0.3
"catch_gear",10,3,21,22,357146553672.703,0.3
"catch_gear",10,4,21,22,5001155191.93183,0.3
"catch_gear",11,3,21,22,239556044529.083,0.3
"catch_gear",11,4,21,22,8595191417.59023,0.3
"catch_gear",0,4,24,25,2177303456.55287,0.3
"catch_gear",1,4,24,25,68325544106.6007,0.3
"catch_gear",2,4,24,25,5162996126.20651,0.3
"catch_gear",3,1,24,25,525577453160.113,0.3
"catch_gear",3,4,24,25,35263375268.1625,0.3
"catch_gear",4,2,24,25,3596359990.35248,0.3
"catch_gear",4,4,24,25,155605437.336215,0.3
"catch_gear",5,3,24,25,115792278903.124,0.3
"catch_gear",5,4,24,25,1764399796.58517,0.3
"catch_gear",6,2,24,25,36781948968.0611,0.3
"catch_gear",6,4,24,25,2234929484.15112,0.3
"catch_gear",7,3,24,25,148579166.204207,0.3
"catch_gear",7,4,24,25,4252198.74189463,0.3
"catch_gear",8,2,24,25,355580033092.953,0.3
"catch_gear",8,4,24,25,23931417828.6778,0.3
"catch_gear",9,3,24,25,163337416395.633,0.3
"catch_gear",9,4,24,25,5957879466.25114,0.3
"catch_gear",10,3,24,25,307902033230.824,0.3
"catch_gear",10,4,24,25,4719214555.1924,0.3
"catch_gear",11,3,24,25,267186691535.17,0.3
"catch_gear",11,4,24,25,5349233830.01897,0.3
"catch_gear",0,4,27,28,1778674070.18172,0.3
"catch_gear",1,4,27,28,64552697534.8713,0.3
"catch_gear",2,4,27,28,3667213906.21178,0.3
"catch_gear",3,1,27,28,510671251159.72,0.3
"catch_gear",3,4,27,28,28977153434.7671,0.3
"catch_gear",4,2,27,28,3207399530.51949,0.3
"catch_gear",4,4,27,28,140397403.261967,0.3
"catch_gear",5,3,27,28,82996220747.9692,0.3
"catch_gear",5,4,27,28,1501816530.0813,0.3
"catch_gear",6,2,27,28,37709016642.1819,0.3
"catch_gear",6,4,27,28,2132160191.76064,0.3
"catch_gear",7,3,27,28,40417097.2329715,0.3
"catch_gear",7,4,27,28,1427835.17825835,0.3
"catch_gear",8,2,27,28,383164952054.034,0.3
"catch_gear",8,4,27,28,22360238493.0381,0.3
"catch_gear",9,3,27,28,130784145183.065,0.3
"catch_gear",9,4,27,28,3256656663.5872,0.3
"catch_gear",10,3,27,28,315458210870.816,0.3
"catch_gear",10,4,27,28,4361485313.81627,0.3
"catch_gear",11,3,27,28,434105019363.037,0.3
"catch_gear",11,4,27,28,9354073133.31295,0.3
"catch_gear",0,4,30,31,1964435213.08483,0.3
"catch_gear",1,4,30,31,68778021963.1328,0.3
"catch_gear",2,4,30,31,4621954011.51496,0.3
"catch_gear",3,1,30,31,642013180856.265,0.3
"catch_gear",3,4,30,31,36585926817.8714,0.3
"catch_gear",4,2,30,31,3412245775.40661,0.3
"catch_gear",4,4,30,31,146169492.67891,0.3
"catch_gear",5,3,30,31,92256824023.2431,0.3
"catch_gear",5,4,30,31,1362939056.27399,0.3
"catch_gear",6,2,30,31,38415912372.8051,0.3
"catch_gear",6,4,30,31,2255342214.92101,0.3
"catch_gear",7,3,30,31,48488027.9902523,0.3
"catch_gear",7,4,30,31,1034733.36345362,0.3
"catch_gear",8,2,30,31,371435239715.89,0.3
"catch_gear",8,4,30,31,24286743315.6786,0.3
"catch_gear",9,3,30,31,266786082338.607,0.3
"catch_gear",9,4,30,31,5930930535.9854,0.3
"catch_gear",10,3,30,31,354660647094.332,0.3
"catch_gear",10,4,30,31,5194528854.35894,0.3
"catch_gear",11,3,30,31,172648223565.308,0.3
"catch_gear",11,4,30,31,6962818832.82715,0.3
"catch_gear",0,4,33,34,2088168784.52201,0.3
"catch_gear",1,4,33,34,66111816099.7914,0.3
"catch_gear",2,4,33,34,4626912968.64586,0.3
"catch_gear",3,1,33,34,463499032144.325,0.3
"catch_gear",3,4,33,34,31361060160.3445,0.3
"catch_gear",4,2,33,34,3492186422.29807,0.3
"catch_gear",4,4,33,34,152643989.517882,0.3
"catch_gear",5,3,33,34,110369052467.812,0.3
"catch_gear",5,4,33,34,1824303425.54484,0.3
"catch_gear",6,2,33,34,36403336295.8786,0.3
"catch_gear",6,4,33,34,2173863088.12898,0.3
"catch_gear",7,3,33,34,22763622.9272446,0.3
"catch_gear",7,4,33,34,811146.102167618,0.3
"catch_gear",8,2,33,34,360499739417.748,0.3
"catch_gear",8,4,33,34,22984738032.4768,0.3
"catch_gear",9,3,33,34,107928873379.105,0.3
"catch_gear",9,4,33,34,4618356533.06743,0.3
"catch_gear",10,3,33,34,289115355713.497,0.3
"catch_gear",10,4,33,34,4301925966.59078,0.3
"catch_gear",11,3,33,34,416665746720.519,0.3
"catch_gear",11,4,33,34,6385775939.02337,0.3
"catch_gear",0,4,36,37,1720434379.53905,0.3
"catch_gear",1,4,36,37,65745751880.841,0.3
"catch_gear",2,4,36,37,3669499819.4822,0.3
"catch_gear",3,1,36,37,593058340159.36,0.3
"catch_gear",3,4,36,37,31280709191.5315,0.3
"catch_gear",4,2,36,37,3165228465.28966,0.3
"catch_gear",4,4,36,37,137187882.387437,0.3
"catch_gear",5,3,36,37,74234878952.9196,0.3
"catch_gear",5,4,36,37,1284898546.59003,0.3
"catch_gear",6,2,36,37,38721684015.4686,0.3
"catch_gear",6,4,36,37,2169679486.25389,0.3
"catch_gear",7,3,36,37,9520380.16013859,0.3
"catch_gear",7,4,36,37,245218.514143938,0.3
"catch_gear",8,2,36,37,389797159737.698,0.3
"catch_gear",8,4,36,37,23002682919.2448,0.3
"catch_gear",9,3,36,37,203431273947.479,0.3
"catch_gear",9,4,36,37,3758026499.6001,0.3
"catch_gear",10,3,36,37,346088789903.759,0.3
"catch_gear",10,4,36,37,4757986401.02031,0.3
"catch_gear",11,3,36,37,305243859294.943,0.3
"catch_gear",11,4,36,37,9455560340.79736,0.3
"catch_gear",0,4,39,40,2157522777.53529,0.3
"catch_gear",1,4,39,40,69042012932.2959,0.3
"catch_gear",2,4,39,40,5178227657.60071,0.3
"catch_gear",3,1,39,40,574626975487.438,0.3
"catch_gear",3,4,39,40,36872489432.4248,0.3
"catch_gear",4,2,39,40,3585111200.55246,0.3
"catch_gear",4,4,39,40,154222395.194196,0.3
"catch_gear",5,3,39,40,111551981757.651,0.3
"catch_gear",5,4,39,40,1641301292.14602,0.3
"catch_gear",6,2,39,40,37262274967.2913,0.3
"catch_gear",6,4,39,40,2259983177.3976,0.3
"catch_gear",7,3,39,40,11560671.0991238,0.3
"catch_gear",7,4,39,40,290178.173284277,0.3
"catch_gear",8,2,39,40,357489515672.076,0.3
"catch_gear",8,4,39,40,24369575454.6511,0.3
"catch_gear",9,3,39,40,208364254346.038,0.3
"catch_gear",9,4,39,40,6425984488.66521,0.3
"catch_gear",10,3,39,40,324456370431.414,0.3
"catch_gear",10,4,39,40,4964152277.94632,0.3
"catch_gear",11,3,39,40,200548954638.383,0.3
"catch_gear",11,4,39,40,5518905758.9327,0.3
