"obs_type","species_idx","gear_idx","t_start","t_end","value","cv","value_true","true_cv","true_sd_log","noise_seed","replicate_id"
"catch_gear",0,4,0,1,1644389576.07315,0.5,3804537766.58858,0.5,0.472380727077439,202609071,1
"catch_gear",1,4,0,1,52649480387.3041,0.5,79548451912.2367,0.5,0.472380727077439,202609071,1
"catch_gear",2,4,0,1,4401718169.78315,0.5,4835527343.28758,0.5,0.472380727077439,202609071,1
"catch_gear",3,1,0,1,297944405770.977,0.5,295979580265.977,0.5,0.472380727077439,202609071,1
"catch_gear",3,4,0,1,33169562945.6481,0.5,28031130788.1839,0.5,0.472380727077439,202609071,1
"catch_gear",4,2,0,1,3947689179.69623,0.5,3678604007.67493,0.5,0.472380727077439,202609071,1
"catch_gear",4,4,0,1,42613735.1036299,0.5,165666836.291497,0.5,0.472380727077439,202609071,1
"catch_gear",5,3,0,1,314228889051.202,0.5,189048998041.071,0.5,0.472380727077439,202609071,1
"catch_gear",5,4,0,1,1745991603.14647,0.5,2185696747.59674,0.5,0.472380727077439,202609071,1
"catch_gear",6,2,0,1,52580628457.7796,0.5,34948011559.9424,0.5,0.472380727077439,202609071,1
"catch_gear",6,4,0,1,5682174887.08195,0.5,2539848288.28959,0.5,0.472380727077439,202609071,1
"catch_gear",7,3,0,1,15493690449.6005,0.5,16960811405.6777,0.5,0.472380727077439,202609071,1
"catch_gear",7,4,0,1,719075699.364027,0.5,344884606.985858,0.5,0.472380727077439,202609071,1
"catch_gear",8,2,0,1,144944346320.081,0.5,160135125459.613,0.5,0.472380727077439,202609071,1
"catch_gear",8,4,0,1,9185010689.48558,0.5,15252650157.5116,0.5,0.472380727077439,202609071,1
"catch_gear",9,3,0,1,311620331479.62,0.5,270418449709.745,0.5,0.472380727077439,202609071,1
"catch_gear",9,4,0,1,3872307660.01138,0.5,5849092424.66364,0.5,0.472380727077439,202609071,1
"catch_gear",10,3,0,1,500784089889.112,0.5,759058874301.16,0.5,0.472380727077439,202609071,1
"catch_gear",10,4,0,1,6103051138.63571,0.5,6499094110.0871,0.5,0.472380727077439,202609071,1
"catch_gear",11,3,0,1,624111936017.266,0.5,476676086551.878,0.5,0.472380727077439,202609071,1
"catch_gear",11,4,0,1,9208338985.51367,0.5,6754052203.08765,0.5,0.472380727077439,202609071,1
"catch_gear",0,4,1,2,1730915583.04504,0.5,4037787282.45253,0.5,0.472380727077439,202609071,1
"catch_gear",1,4,1,2,86189020534.6572,0.5,81644855600.2358,0.5,0.472380727077439,202609071,1
"catch_gear",2,4,1,2,9305097317.76404,0.5,5254112027.22071,0.5,0.472380727077439,202609071,1
"catch_gear",3,1,1,2,417336346782.328,0.5,537374126141.732,0.5,0.472380727077439,202609071,1
"catch_gear",3,4,1,2,63481982497.7722,0.5,38981095382.1606,0.5,0.472380727077439,202609071,1
"catch_gear",4,2,1,2,1909425830.34668,0.5,4466214269.00804,0.5,0.472380727077439,202609071,1
"catch_gear",4,4,1,2,235494941.853343,0.5,195443246.921222,0.5,0.472380727077439,202609071,1
"catch_gear",5,3,1,2,116163449348.337,0.5,117279706862.025,0.5,0.472380727077439,202609071,1
"catch_gear",5,4,1,2,1290336498.08904,0.5,1727306136.61169,0.5,0.472380727077439,202609071,1
"catch_gear",6,2,1,2,46416648550.3104,0.5,42547383996.957,0.5,0.472380727077439,202609071,1
"catch_gear",6,4,1,2,2104052467.29881,0.5,2942861862.07702,0.5,0.472380727077439,202609071,1
"catch_gear",7,3,1,2,10300136336.6692,0.5,11102727033.2071,0.5,0.472380727077439,202609071,1
"catch_gear",7,4,1,2,434488210.442941,0.5,305138642.134816,0.5,0.472380727077439,202609071,1
"catch_gear",8,2,1,2,132239918887.868,0.5,215567277185.065,0.5,0.472380727077439,202609071,1
"catch_gear",8,4,1,2,12370195446.2836,0.5,18769860778.9605,0.5,0.472380727077439,202609071,1
"catch_gear",9,3,1,2,461453969917.128,0.5,225023562187.011,0.5,0.472380727077439,202609071,1
"catch_gear",9,4,1,2,2312317630.96143,0.5,6508449450.31973,0.5,0.472380727077439,202609071,1
"catch_gear",10,3,1,2,580924389413.752,0.5,260679419743.4,0.5,0.472380727077439,202609071,1
"catch_gear",10,4,1,2,10082182676.4334,0.5,4241813417.39611,0.5,0.472380727077439,202609071,1
"catch_gear",11,3,1,2,316687240006.853,0.5,206438903726.769,0.5,0.472380727077439,202609071,1
"catch_gear",11,4,1,2,3727928732.31008,0.5,7276283584.17825,0.5,0.472380727077439,202609071,1
"catch_gear",0,4,2,3,6186808147.76157,0.5,3431033374.56156,0.5,0.472380727077439,202609071,1
"catch_gear",1,4,2,3,67759726580.6465,0.5,78428471742.0225,0.5,0.472380727077439,202609071,1
"catch_gear",2,4,2,3,5225828278.68481,0.5,3879491752.20606,0.5,0.472380727077439,202609071,1
"catch_gear",3,1,2,3,591700790492.593,0.5,695792049910.69,0.5,0.472380727077439,202609071,1
"catch_gear",3,4,2,3,31215986318.169,0.5,38597069806.0464,0.5,0.472380727077439,202609071,1
"catch_gear",4,2,2,3,5000606709.3904,0.5,4374163481.02342,0.5,0.472380727077439,202609071,1
"catch_gear",4,4,2,3,219671916.221804,0.5,186957222.95369,0.5,0.472380727077439,202609071,1
"catch_gear",5,3,2,3,52485485385.9927,0.5,87454243061.4364,0.5,0.472380727077439,202609071,1
"catch_gear",5,4,2,3,1025366238.17176,0.5,1279424502.40731,0.5,0.472380727077439,202609071,1
"catch_gear",6,2,2,3,30480349821.1141,0.5,50726621422.691,0.5,0.472380727077439,202609071,1
"catch_gear",6,4,2,3,3893169056.49109,0.5,3118582646.50119,0.5,0.472380727077439,202609071,1
"catch_gear",7,3,2,3,4722264123.34705,0.5,8173479050.31573,0.5,0.472380727077439,202609071,1
"catch_gear",7,4,2,3,127020802.630813,0.5,194383636.30998,0.5,0.472380727077439,202609071,1
"catch_gear",8,2,2,3,508000843778.998,0.5,280898097791.758,0.5,0.472380727077439,202609071,1
"catch_gear",8,4,2,3,33759074281.4947,0.5,20319982532.2649,0.5,0.472380727077439,202609071,1
"catch_gear",9,3,2,3,163686833688.389,0.5,259774534189.707,0.5,0.472380727077439,202609071,1
"catch_gear",9,4,2,3,3101845555.08851,0.5,5070311308.51185,0.5,0.472380727077439,202609071,1
