time,species,weight,N
0,Sprat,0.001,18433027586677.168
1,Sprat,0.001,18376506055583.477
0,Sandeel,0.001,6859125627860.576
1,Sandeel,0.001,6847237556238.404
0,N.pout,0.001,144080135567361.53
1,N.pout,0.001,142569569173911.03
0,Herring,0.001,14504591859459.246
1,Herring,0.001,14522146828201.379
0,Dab,0.001,170537783900.79608
1,Dab,0.001,170166008253.86472
0,Whiting,0.001,9180478388461.555
1,Whiting,0.001,9183116920509.299
0,Sole,0.001,798357298777.183
1,Sole,0.001,796690069092.1138
0,Gurnard,0.001,17507889486419.94
1,Gurnard,0.001,19750814251024.08
0,Plaice,0.001,1035528537611377.9
1,Plaice,0.001,1322261633418567.8
0,Haddock,0.001,22045109402830.313
1,Haddock,0.001,22293295109322.887
0,Cod,0.001,64287353694.86079
1,Cod,0.001,64153110231.23193
0,Saithe,0.001,1089483871462.824
1,Saithe,0.001,1088695103131.4789
0,Sprat,0.00119,16138323246646.313
1,Sprat,0.00119,16072531879003.139
0,Sandeel,0.00119,6035507978277.216
1,Sandeel,0.00119,6025360156965.323
0,N.pout,0.00119,127278265574115.13
1,N.pout,0.00119,125926587416897.72
0,Herring,0.00119,12774474810716.982
1,Herring,0.00119,12776546523788.729
0,Dab,0.00119,150197669717.6001
1,Dab,0.00119,149729620317.42017
0,Whiting,0.00119,8093368214189.382
1,Whiting,0.00119,8090703560236.197
0,Sole,0.00119,704022492909.8408
1,Sole,0.00119,701938571784.6873
0,Gurnard,0.00119,15371784088095.166
1,Gurnard,0.00119,17326726433564.367
0,Plaice,0.00119,894284042707278.1
1,Plaice,0.00119,1138105514435754.3
0,Haddock,0.00119,19450982395644.11
1,Haddock,0.00119,19664934875674.89
0,Cod,0.00119,57096069234.62212
1,Cod,0.00119,56957591696.92805
0,Saithe,0.00119,972446643082.1488
1,Saithe,0.00119,971699479771.4159
0,Sprat,0.00142,14119288452141.43
1,Sprat,0.00142,14046830870171.666
0,Sandeel,0.00142,5314136141479.397
1,Sandeel,0.00142,5305365364736.275
0,N.pout,0.00142,112272245780352.02
1,N.pout,0.00142,111065285032371.14
0,Herring,0.00142,11241009401423.348
1,Herring,0.00142,11231429753521.104
0,Dab,0.00142,132183319280.55937
1,Dab,0.00142,131644440088.26523
0,Whiting,0.00142,7127040481366.779
1,Whiting,0.00142,7120187678988.185
0,Sole,0.00142,620467216837.0017
1,Sole,0.00142,618076258822.3365
0,Gurnard,0.00142,13478616648640.521
1,Gurnard,0.00142,15179715913626.682
0,Plaice,0.00142,770637161084249.1
1,Plaice,0.00142,977375040228909.25
0,Haddock,0.00142,17144029424803.746
1,Haddock,0.00142,17328136599186.018
0,Cod,0.00142,50689574902.86456
1,Cod,0.00142,50549076428.821915
0,Saithe,0.00142,867752080823.5978
1,Saithe,0.00142,867051317233.5361
0,Sprat,0.0017,12342290806025.94
1,Sprat,0.0017,12265590588142.238
0,Sandeel,0.0017,4681802925058.404
1,Sandeel,0.0017,4674131484212.098
0,N.pout,0.0017,98872071740970.47
1,N.pout,0.0017,97797051675494.375
0,Herring,0.0017,9882181364148.326
1,Herring,0.0017,9864063109023.082
0,Dab,0.0017,116230589441.13205
1,Dab,0.0017,115643752229.37256
0,Whiting,0.0017,6268147274591.8545
1,Whiting,0.0017,6258111138111.713
0,Sole,0.0017,546461946611.9559
1,Sole,0.0017,543862808033.65204
0,Gurnard,0.0017,11801164265753.621
1,Gurnard,0.0017,13278747616164.57
0,Plaice,0.0017,662511031837463.75
1,Plaice,0.0017,837286271663819.6
0,Haddock,0.0017,15092794254291.168
1,Haddock,0.0017,15250966818314.344
0,Cod,0.0017,44980976014.65762
1,Cod,0.0017,44840516347.72247
0,Saithe,0.0017,774070737647.0852
1,Saithe,0.0017,773420229677.0723
0,Sprat,0.00203,10777940894697.97
1,Sprat,0.00203,10699208793317.375
0,Sandeel,0.00203,4127019049061.309
1,Sandeel,0.00203,4120237681746.4365
0,N.pout,0.00203,86909483606617.81
1,N.pout,0.00203,85954801925470.23
0,Herring,0.00203,8678467503193.463
1,Herring,0.00203,8654336960564.257
0,Dab,0.00203,102105808273.71582
1,Dab,0.00203,101491309023.81332
0,Whiting,0.00203,5504887283026.9
1,Whiting,0.00203,5492563044441.322
0,Sole,0.00203,480919059627.8868
1,Sole,0.00203,478199718260.42926
0,Gurnard,0.00203,10315361796847.1
1,Gurnard,0.00203,11596360708184.803
0,Plaice,0.00203,568076373904281.5
1,Plaice,0.00203,715380091736463.1
0,Haddock,0.00203,13269368771194.52
1,Haddock,0.00203,13405082532615.975
0,Cod,0.00203,39893247426.63248
1,Cod,0.00203,39754710252.75137
0,Saithe,0.00203,690220955463.8494
1,Saithe,0.00203,689623583378.9663
0,Sprat,0.00242,9400691926254.826
1,Sprat,0.00242,9321893102190.994
0,Sandeel,0.00242,3639806903764.7085
1,Sandeel,0.00242,3633760214936.8
0,N.pout,0.00242,76235499024634
1,N.pout,0.00242,75390537113224.31
0,Herring,0.00242,7612575849570.858
1,Herring,0.00242,7584476545662.529
0,Dab,0.00242,89602649599.7861
1,Dab,0.00242,88978201286.2119
0,Whiting,0.00242,4826841571944.044
1,Whiting,0.00242,4813015080838.942
0,Sole,0.00242,422878544310.30225
1,Sole,0.00242,420115993224.7406
0,Gurnard,0.00242,8999967554747.07
1,Gurnard,0.00242,10108289451713.85
0,Plaice,0.00242,485725200947347.94
1,Plaice,0.00242,609488178920032.9
0,Haddock,0.00242,11649006785763.012
1,Haddock,0.00242,11765340309640.975
0,Cod,0.00242,35358200504.11913
1,Cod,0.00242,35223270338.582855
0,Saithe,0.00242,615152638687.809
1,Saithe,0.00242,614610276573.579
0,Sprat,0.00289,8188374682809.168
1,Sprat,0.00289,8111202694849.088
0,Sandeel,0.00289,3211512870213.8916
1,Sandeel,0.00289,3206087059159.385
0,N.pout,0.00289,66718139131997.375
1,N.pout,0.00289,65973101901374.71
0,Herring,0.00289,6669196070532.898
1,Herring,0.00289,6638770516256.014
0,Dab,0.00289,78539034164.98909
1,Dab,0.00289,77919778726.14491
0,Whiting,0.00289,4224812828945.0723
1,Whiting,0.00289,4210161348444.566
0,Sole,0.00289,371493662892.83563
1,Sole,0.00289,368753889777.40607
0,Gurnard,0.00289,7836237996120.074
1,Gurnard,0.00289,8793096437951.897
0,Plaice,0.00289,414043438822924.3
1,Plaice,0.00289,517698090098334.75
0,Haddock,0.00289,10209768884052.256
1,Haddock,0.00289,10309437521787.434
0,Cod,0.00289,31315503768.383884
1,Cod,0.00289,31185646093.689167
0,Saithe,0.00289,547932690741.89484
1,Saithe,0.00289,547446188072.1674
0,Sprat,0.00345,7121721153909.528
1,Sprat,0.00345,7047582702658.451
0,Sandeel,0.00345,2834638057535.882
1,Sandeel,0.00345,2829750744940.634
0,N.pout,0.00345,58240347221550.086
1,N.pout,0.00345,57586133751832.164
0,Herring,0.00345,5834766098300.645
1,Herring,0.00345,5803321288139.613
0,Dab,0.00345,68754179421.67282
1,Dab,0.00345,68152733702.1182
0,Whiting,0.00345,3690673157836.8657
1,Whiting,0.00345,3675767446778.5024
0,Sole,0.00345,326017204723.6399
1,Sole,0.00345,323355328670.4566
0,Gurnard,0.00345,6807620842277.108
1,Gurnard,0.00345,7631828129578.644
0,Plaice,0.00345,351784563177783.8
1,Plaice,0.00345,438319998424005.9
0,Haddock,0.00345,8932198368604.717
1,Haddock,0.00345,9017585527099.406
0,Cod,0.00345,27711771283.524803
1,Cod,0.00345,27588218353.505337
0,Saithe,0.00345,487731957657.84
1,Saithe,0.00345,487301137786.37744
0,Sprat,0.00411,6183919168042.389
1,Sprat,0.00411,6113931029463.631
0,Sandeel,0.00411,2502686981349.247
1,Sandeel,0.00411,2498278913432.3296
0,N.pout,0.00411,50698100156678.88
1,N.pout,0.00411,50126204225494.69
0,Herring,0.00411,5097259727906.797
1,Herring,0.00411,5065820565173.408
0,Dab,0.00411,60105896740.19041
1,Dab,0.00411,59532439818.17974
0,Whiting,0.00411,3217224676996.963
1,Whiting,0.00411,3202532731696.9844
0,Sole,0.00411,285788850615.6493
1,Sole,0.00411,283249451498.9449
0,Gurnard,0.00411,5899474273321.224
1,Gurnard,0.00411,6607700676241.793
0,Plaice,0.00411,297845809948840.9
1,Plaice,0.00411,369856888661461.06
0,Haddock,0.00411,7799028182221.055
1,Haddock,0.00411,7872214509388.778
0,Cod,0.00411,24499730969.600727
1,Cod,0.00411,24383474558.023262
0,Saithe,0.00411,433813536797.4623
1,Saithe,0.00411,433437216745.86926
0,Sprat,0.00491,5360223741887.98
1,Sprat,0.00491,5295221088543.732
0,Sandeel,0.00491,2210033388865.7764
1,Sandeel,0.00491,2206061778541.456
0,N.pout,0.00491,43998711100020.6
1,N.pout,0.00491,43501148979615.22
0,Herring,0.00491,4445997766074.421
1,Herring,0.00491,4415351409732.042
0,Dab,0.00491,52468195580.99516
1,Dab,0.00491,51930596532.508354
0,Whiting,0.00491,2798075568114.4824
1,Whiting,0.00491,2783968047623.533
0,Sole,0.00491,250223965276.2273
1,Sole,0.00491,247841600834.92218
0,Gurnard,0.00491,5098816688337.31
1,Gurnard,0.00491,5705820375501.422
0,Plaice,0.00491,251247801338069.13
1,Plaice,0.00491,310979072844816
0,Haddock,0.00491,6794918160958.895
1,Haddock,0.00491,6857709075546.119
0,Cod,0.00491,21637479723.660965
1,Cod,0.00491,21529270861.774063
0,Saithe,0.00491,385522319473.30634
1,Saithe,0.00491,385198353390.058
0,Sprat,0.00586,4637634203031.512
1,Sprat,0.00586,4578188401107.199
0,Sandeel,0.00586,1951802138123.3142
1,Sandeel,0.00586,1948235417823.185
0,N.pout,0.00586,38059318519495.99
1,N.pout,0.00586,37628580611754.12
0,Herring,0.00586,3871482879562.312
1,Herring,0.00586,3842216184648.276
0,Dab,0.00586,45729208361.708466
1,Dab,0.00586,45233190247.78594
0,Whiting,0.00586,2427532296311.3936
1,Whiting,0.00586,2414289493531.5566
0,Sole,0.00586,218803901457.84305
1,Sole,0.00586,216603791125.48694
0,Gurnard,0.00586,4394107996332.763
1,Gurnard,0.00586,4912939520329.963
0,Plaice,0.00586,211117701103732.72
1,Plaice,0.00586,260503071732569.7
0,Haddock,0.00586,5906221138760.449
1,Haddock,0.00586,5960173005556.15
0,Cod,0.00586,19087825357.173042
1,Cod,0.00586,18988180610.555126
0,Saithe,0.00586,342275642766.48926
1,Saithe,0.00586,342000990652.7293
0,Sprat,0.00699,4004634025654.4214
1,Sprat,0.00699,3951077744946.8276
0,Sandeel,0.00699,1723765839987.208
1,Sandeel,0.00699,1720579633619.3435
0,N.pout,0.00699,32805553764977.785
1,N.pout,0.00699,32434576452735.02
0,Herring,0.00699,3365256502833.482
1,Herring,0.00699,3337788194162.704
0,Dab,0.00699,39789415905.486374
1,Dab,0.00699,39338751851.996765
0,Whiting,0.00699,2100507252308.558
1,Whiting,0.00699,2088327436759.7441
0,Sole,0.00699,191067725498.84824
1,Sole,0.00699,189066580421.48938
