"time","species","w","N"
0,"Sprat",0.001,1674529772779.23
1,"Sprat",0.001,1733589128697.7
2,"Sprat",0.001,2301135146726.77
3,"Sprat",0.001,5366905173392.16
4,"Sprat",0.001,16686551115432.3
5,"Sprat",0.001,46500470190659.7
6,"Sprat",0.001,104112175193380
7,"Sprat",0.001,188714883700866
8,"Sprat",0.001,287918575934238
9,"Sprat",0.001,386527879680347
10,"Sprat",0.001,474649290941217
11,"Sprat",0.001,548915956202416
12,"Sprat",0.001,610186523249864
13,"Sprat",0.001,662590388529073
14,"Sprat",0.001,717810765696893
15,"Sprat",0.001,806609360760883
16,"Sprat",0.001,976455781705068
17,"Sprat",0.001,1219906233819923
18,"Sprat",0.001,1429972866470874
19,"Sprat",0.001,1528286001874957
20,"Sprat",0.001,1522798334922349
21,"Sprat",0.001,1450465388667789
22,"Sprat",0.001,1344336329042345
23,"Sprat",0.001,1228106317222151
24,"Sprat",0.001,1116330577075239
25,"Sprat",0.001,1016078667575195
26,"Sprat",0.001,929301061588997
27,"Sprat",0.001,855010569034872
28,"Sprat",0.001,790967883453325
29,"Sprat",0.001,734949880498213
30,"Sprat",0.001,685556560746193
31,"Sprat",0.001,642427167185023
32,"Sprat",0.001,605964064022602
33,"Sprat",0.001,576887134792226
34,"Sprat",0.001,555883552095982
35,"Sprat",0.001,543418992833350
36,"Sprat",0.001,539663389458483
37,"Sprat",0.001,544485036259840
38,"Sprat",0.001,557496979497260
39,"Sprat",0.001,578144285824839
40,"Sprat",0.001,605804164757455
0,"Sprat",0.00111,1211098936940.51
1,"Sprat",0.00111,1235335187011.57
2,"Sprat",0.00111,1513601178328.14
3,"Sprat",0.00111,3132765425797.12
4,"Sprat",0.00111,9506119631007.87
5,"Sprat",0.00111,27364927507386
6,"Sprat",0.00111,64010121432584.9
7,"Sprat",0.00111,120879571127152
8,"Sprat",0.00111,190712900987774
9,"Sprat",0.00111,262516064531836
10,"Sprat",0.00111,328053086057123
11,"Sprat",0.00111,383872584486794
12,"Sprat",0.00111,429988976408416
13,"Sprat",0.00111,468757146702033
14,"Sprat",0.00111,506829611662802
15,"Sprat",0.00111,562229941013110
16,"Sprat",0.00111,666831222455716
17,"Sprat",0.00111,826439909124909
18,"Sprat",0.00111,972579878181706
19,"Sprat",0.00111,1033513299029287
20,"Sprat",0.00111,1003206405179468
21,"Sprat",0.00111,912049317527567
22,"Sprat",0.00111,793570771374292
23,"Sprat",0.00111,673056624036330
24,"Sprat",0.00111,564984437714848
25,"Sprat",0.00111,474708170765064
26,"Sprat",0.00111,401949480912473
27,"Sprat",0.00111,343883534196050
28,"Sprat",0.00111,297115338132205
29,"Sprat",0.00111,258765336638175
30,"Sprat",0.00111,226918427470433
31,"Sprat",0.00111,200576473244249
32,"Sprat",0.00111,179325846639271
33,"Sprat",0.00111,162990994065832
34,"Sprat",0.00111,151432374310171
35,"Sprat",0.00111,144486157269019
36,"Sprat",0.00111,141975284797145
37,"Sprat",0.00111,143737491067951
38,"Sprat",0.00111,149649572865191
39,"Sprat",0.00111,159645401873575
40,"Sprat",0.00111,173727345991509
0,"Sprat",0.00123,912625585962.476
1,"Sprat",0.00123,923104100453.354
2,"Sprat",0.00123,1069169919586.53
3,"Sprat",0.00123,1982196769226.26
4,"Sprat",0.00123,5790865283225.12
5,"Sprat",0.00123,17071036700536.6
6,"Sprat",0.00123,41490900669870.6
7,"Sprat",0.00123,81317611707291.1
8,"Sprat",0.00123,132335482406460
9,"Sprat",0.00123,186495760787933
10,"Sprat",0.00123,236971374546639
11,"Sprat",0.00123,280448714894025
12,"Sprat",0.00123,316486574155810
13,"Sprat",0.00123,346482542913909
14,"Sprat",0.00123,374506706251914
15,"Sprat",0.00123,411757168381256
16,"Sprat",0.00123,480153924862370
17,"Sprat",0.00123,589936968817229
18,"Sprat",0.00123,697959244947001
19,"Sprat",0.00123,743500771603587
20,"Sprat",0.00123,712880719259095
21,"Sprat",0.00123,629568794646518
22,"Sprat",0.00123,524264880150248
23,"Sprat",0.00123,420752140027136
24,"Sprat",0.00123,331905131581908
25,"Sprat",0.00123,261384383262117
26,"Sprat",0.00123,207597303001577
27,"Sprat",0.00123,167036366973411
28,"Sprat",0.00123,136158815464061
29,"Sprat",0.00123,112184324819218
30,"Sprat",0.00123,93270313234137.8
