"time","species","weight","N"
0,"Sprat",0.001,18433027586677.2
0.1,"Sprat",0.001,18405642041486.5
0.2,"Sprat",0.001,18403600818845.8
0.3,"Sprat",0.001,18402280897397.7
0.4,"Sprat",0.001,18401042120847.6
0.5,"Sprat",0.001,18400282546814
0.6,"Sprat",0.001,18400066664988.1
0.7,"Sprat",0.001,18400127000960.2
0.8,"Sprat",0.001,18400031928000
0.9,"Sprat",0.001,18399344437612.8
1,"Sprat",0.001,18397724608682
1.1,"Sprat",0.001,18394973281664.1
1.2,"Sprat",0.001,18391032573423.7
1.3,"Sprat",0.001,18385962026380.7
1.4,"Sprat",0.001,18379905409341.5
1.5,"Sprat",0.001,18373057697961.3
1.6,"Sprat",0.001,18365637037516.8
1.7,"Sprat",0.001,18357863268190.9
1.8,"Sprat",0.001,18349942793755.8
1.9,"Sprat",0.001,18342058822939.6
2,"Sprat",0.001,18334365887253.5
2.1,"Sprat",0.001,18326987690301.5
2.2,"Sprat",0.001,18320017542141.1
2.3,"Sprat",0.001,18313520767746.9
2.4,"Sprat",0.001,18307538529745
2.5,"Sprat",0.001,18302092501074.4
2.6,"Sprat",0.001,18297189808533.1
2.7,"Sprat",0.001,18292827683719.8
2.8,"Sprat",0.001,18288997328541.3
2.9,"Sprat",0.001,18285686634567.4
3,"Sprat",0.001,18282881578186.3
3.1,"Sprat",0.001,18280566322040.5
3.2,"Sprat",0.001,18278722254164.8
3.3,"Sprat",0.001,18277326354193
3.4,"Sprat",0.001,18276349361668.2
3.5,"Sprat",0.001,18275754219532.2
3.6,"Sprat",0.001,18275495179748.4
3.7,"Sprat",0.001,18275517809650.5
3.8,"Sprat",0.001,18275759961557.9
3.9,"Sprat",0.001,18276153602103.5
4,"Sprat",0.001,18276627272608.1
4.1,"Sprat",0.001,18277108885162.3
4.2,"Sprat",0.001,18277528552457.4
4.3,"Sprat",0.001,18277821190970.9
4.4,"Sprat",0.001,18277928707233.3
4.5,"Sprat",0.001,18277801654954.9
4.6,"Sprat",0.001,18277400320904.7
4.7,"Sprat",0.001,18276695251413.9
4.8,"Sprat",0.001,18275667268579
4.9,"Sprat",0.001,18274307049665.1
5,"Sprat",0.001,18272614359775.2
5.1,"Sprat",0.001,18270597039379.9
5.2,"Sprat",0.001,18268269854587.1
5.3,"Sprat",0.001,18265653316954.1
5.4,"Sprat",0.001,18262772569199.7
5.5,"Sprat",0.001,18259656413250.1
5.6,"Sprat",0.001,18256336529922.1
5.7,"Sprat",0.001,18252846909222.4
5.8,"Sprat",0.001,18249223481158.6
5.9,"Sprat",0.001,18245503912725.4
6,"Sprat",0.001,18241727519448.5
6.1,"Sprat",0.001,18237935230116.2
6.2,"Sprat",0.001,18234169540571
6.3,"Sprat",0.001,18230474395627.5
6.4,"Sprat",0.001,18226894946261.4
6.5,"Sprat",0.001,18223477141247.9
6.6,"Sprat",0.001,18220267127649.6
6.7,"Sprat",0.001,18217310452115.5
6.8,"Sprat",0.001,18214651073822.9
6.9,"Sprat",0.001,18212330218776
7,"Sprat",0.001,18210385122583.9
7.1,"Sprat",0.001,18208847723290.5
7.2,"Sprat",0.001,18207743375955.9
7.3,"Sprat",0.001,18207089665455.1
7.4,"Sprat",0.001,18206895392706.3
7.5,"Sprat",0.001,18207159802111.6
7.6,"Sprat",0.001,18207872104811.7
7.7,"Sprat",0.001,18209011334471.6
7.8,"Sprat",0.001,18210546551414.1
7.9,"Sprat",0.001,18212437389163.5
8,"Sprat",0.001,18214634917224.4
8.1,"Sprat",0.001,18217082777327.8
8.2,"Sprat",0.001,18219718538967.9
8.3,"Sprat",0.001,18222475214413.8
8.4,"Sprat",0.001,18225282873135.6
8.5,"Sprat",0.001,18228070299526.3
8.6,"Sprat",0.001,18230766644218.1
8.7,"Sprat",0.001,18233303026413.4
8.8,"Sprat",0.001,18235614050980.3
8.9,"Sprat",0.001,18237639208701
9,"Sprat",0.001,18239324130818.6
9.1,"Sprat",0.001,18240621670452.3
9.2,"Sprat",0.001,18241492784660.1
9.3,"Sprat",0.001,18241907193350.9
9.4,"Sprat",0.001,18241843796234.3
9.5,"Sprat",0.001,18241290837390
9.6,"Sprat",0.001,18240245818877.4
9.7,"Sprat",0.001,18238715179137.9
9.8,"Sprat",0.001,18236713766996.6
9.9,"Sprat",0.001,18234264155580.5
10,"Sprat",0.001,18231395850247.4
10.1,"Sprat",0.001,18228144448997.4
10.2,"Sprat",0.001,18224550812065.2
10.3,"Sprat",0.001,18220660289622.1
10.4,"Sprat",0.001,18216522043765
