"obs_type","species_idx","gear_idx","t_start","t_end","value","cv"
"catch_gear",0,4,0,1,3463291035.31027,0.3
"catch_gear",1,4,0,1,70348543709.9744,0.3
"catch_gear",2,4,0,1,2900556142.1203,0.3
"catch_gear",3,1,0,1,309717078893.584,0.3
"catch_gear",3,4,0,1,24071133818.1112,0.3
"catch_gear",4,2,0,1,2511868338.28739,0.3
"catch_gear",4,4,0,1,185696486.265215,0.3
"catch_gear",5,3,0,1,335914850302.574,0.3
"catch_gear",5,4,0,1,2247039998.93931,0.3
"catch_gear",6,2,0,1,52813300347.0472,0.3
"catch_gear",6,4,0,1,4758584705.40562,0.3
"catch_gear",7,3,0,1,15108098143.7576,0.3
"catch_gear",7,4,0,1,208598784.178185,0.3
"catch_gear",8,2,0,1,204071243821.139,0.3
"catch_gear",8,4,0,1,8985239562.6504,0.3
"catch_gear",9,3,0,1,337940650606.516,0.3
"catch_gear",9,4,0,1,2410345040.55252,0.3
"catch_gear",10,3,0,1,680528644384.06,0.3
"catch_gear",10,4,0,1,3593746475.97293,0.3
"catch_gear",11,3,0,1,672854025471.473,0.3
"catch_gear",11,4,0,1,10292206060.2678,0.3
"catch_gear",0,4,1,2,2266382567.71903,0.3
"catch_gear",1,4,1,2,84302173182.587,0.3
"catch_gear",2,4,1,2,4559551715.95502,0.3
"catch_gear",3,1,1,2,427007282167.084,0.3
"catch_gear",3,4,1,2,49057448941.4777,0.3
"catch_gear",4,2,1,2,3914109784.15911,0.3
"catch_gear",4,4,1,2,133050045.716943,0.3
"catch_gear",5,3,1,2,125276954257.555,0.3
"catch_gear",5,4,1,2,1256594922.93763,0.3
"catch_gear",6,2,1,2,35269777941.1608,0.3
"catch_gear",6,4,1,2,3509109029.29054,0.3
"catch_gear",7,3,1,2,6128854731.05443,0.3
"catch_gear",7,4,1,2,205990378.973017,0.3
"catch_gear",8,2,1,2,173037902370.781,0.3
"catch_gear",8,4,1,2,22672784596.9766,0.3
"catch_gear",9,3,1,2,150024419047.587,0.3
"catch_gear",9,4,1,2,11481340964.7583,0.3
"catch_gear",10,3,1,2,314867795332.933,0.3
"catch_gear",10,4,1,2,4341211437.26545,0.3
"catch_gear",11,3,1,2,250395762954.469,0.3
"catch_gear",11,4,1,2,6138667400.55504,0.3
"catch_gear",0,4,2,3,2420306586.71075,0.3
"catch_gear",1,4,2,3,53130874273.7382,0.3
"catch_gear",2,4,2,3,4572831622.72961,0.3
"catch_gear",3,1,2,3,572236662674.759,0.3
"catch_gear",3,4,2,3,50437513368.1452,0.3
"catch_gear",4,2,2,3,5338218073.77742,0.3
