quantity,eps_scale,q0,q50,q90,q99,q100
dencounter_dw,0.001,1.220818401507677e-10,7.837492048515875e-08,9.307582636002419e-08,3.4403908216458116e-07,4.4298902299314695e-07
dfeeding_dw,0.001,1.0580025390118968e-09,2.682738651962684e-07,1.0105627237530744e-06,6.341107658517112e-06,0.00016667317013544005
derepog_dw,0.001,9.023171711362741e-10,8.892797027115666e-08,1.0803721059094205e-07,1.6974393992144215e-07,2.1630638042804993e-07
dpos_erepog_dw,0.001,9.023171711362741e-10,8.892797027115666e-08,1.0803721059094205e-07,1.6974393992144215e-07,2.1630638042804993e-07
de_repro_dw,0.001,0.0,0.0,5.835354283899152e-06,1.543532959315412e-05,0.9783278591375434
dg_dw,0.001,0.0,8.800263668357486e-08,4.846314128980008e-07,2.021636986476078e-05,0.00035166823815244137
dencounter_dw,0.0001,2.0354923728957777e-13,7.835085214661352e-10,9.31849576438279e-10,3.440456564123385e-09,4.434203300898e-09
dfeeding_dw,0.0001,5.831557741104624e-12,2.7441040115359647e-09,1.0867193239994359e-08,6.382900845316975e-08,1.6706259656900502e-06
derepog_dw,0.0001,5.914800938342077e-12,8.883488593786013e-10,1.0755497040722924e-09,1.701049336536709e-09,2.1487088737081645e-09
dpos_erepog_dw,0.0001,5.914800938342077e-12,8.883488593786013e-10,1.0755497040722924e-09,1.701049336536709e-09,2.1487088737081645e-09
de_repro_dw,0.0001,0.0,0.0,5.8354190131181636e-08,1.5421326903560741e-07,1.5752766863063344e-07
dg_dw,0.0001,0.0,8.81627143574057e-10,4.67467872557921e-09,2.0216727119998426e-07,3.5167360179113425e-06
dencounter_dw,1e-05,2.857798458772918e-14,1.0552473645832645e-11,2.7633354154427722e-11,5.430418522897373e-11,8.594939049790993e-11
dfeeding_dw,1e-05,4.237485575886641e-13,2.506590017846752e-10,1.774743553019277e-09,1.0218857198550288e-07,3.2738913888103176e-07
derepog_dw,1e-05,4.611045611848513e-14,3.141815497851903e-11,9.058256635187978e-11,1.9682282259705975e-10,3.778036596969829e-10
dpos_erepog_dw,1e-05,4.611045611848513e-14,3.141815497851903e-11,9.058256635187978e-11,1.9682282259705975e-10,3.778036596969829e-10
de_repro_dw,1e-05,0.0,0.0,5.852587166513464e-10,1.541387103202129e-09,1.578924309753628e-09
dg_dw,1e-05,0.0,2.174956468822184e-11,1.083012805635597e-10,2.6808950503142105e-09,4.247352498321839e-08
dencounter_dw,1e-06,7.84576892925786e-14,9.335536116448929e-11,2.312434661883887e-10,3.5032249252418896e-10,5.442392179187201e-10
dfeeding_dw,1e-06,1.6199357931940446e-12,2.5517525800914956e-09,1.7640637446484843e-08,7.451063514361661e-07,8.330184469626247e-06
derepog_dw,1e-06,2.9468236138076305e-13,3.015194479560571e-10,9.197960311145503e-10,1.8315612407997445e-09,3.1882001695756526e-09
dpos_erepog_dw,1e-06,2.9468236138076305e-13,3.015194479560571e-10,9.197960311145503e-10,1.8315612407997445e-09,3.1882001695756526e-09
de_repro_dw,1e-06,0.0,0.0,7.386196608647186e-10,1.6910203212341063e-09,3.1882001695756526e-09
dg_dw,1e-06,0.0,2.008367353965009e-10,7.580067710094384e-10,6.565313646099885e-09,9.40670210401162e-07
