0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2351411006857.0615,2296597358218.9497,2243053289815.8237,2190747767808.8652,2139650171140.6187,2089730227665.181,2040957950822.4048,1993303579340.595,1946737521837.9036,1901230306897.2432,1856752537485.3938,1813274847054.643,1770767854071.0757,1729202112730.7065,1688548060484.5066,1648775967248.004,1609855895716.896,1571757685635.937,1534450975996.99,1497905277515.2002,1462090103787.3289,1426975164381.798,1392530618017.9778,1358727379873.3696,1325537474171.977,1292934421216.8303,1260893646307.1047,1229392895986.0352,1198412644610.6206,1167936471544.456,1137951386893.1646,1108448082309.271,1079421083641.8706,1050868784600.3438,1022793345424.28,995200447819.7677,968098906846.694,941500151403.9077,915417596505.9829,889865941416.4741,864860436392.347,840416165661.409,816547393709.2968,793267014762.2617,770586131081.3855,748513765201.0618,727056687109.8495,706219313844.5664,686003621412.0913,666409002625.3721,647432012970.9314,629065970742.8689,611300414737.9756,594120467335.4845,577506195710.4348,561432101760.8264,545866894701.3732,530773701974.53796,516110847520.42615,501833267429.1795,487894543561.2085,474249427472.16125,460856621793.46277,447681511749.4148,434698520009.2877,421892804300.01196,409261120366.5264,396811806585.2302,384563976187.58093,372546098218.15686,360794192574.8856,349349858362.9165,338258312255.4019,327566554220.94586,317321719747.16473,307569632271.9437,298353541588.8242,289713022771.44257,281683011980.2367,274292965824.41602,267566145543.4359,261519042733.7559,256160977116.81174,251493907117.94458,247512499643.3819,244204505790.0859,241551484166.63406,239529903375.11182,238112640880.44543,237270878554.95346,236976378099.22174,237204105719.4108,237935168956.18243,239160033243.66187,240882003589.03876,243120985662.0074,245917572714.14554,249337526219.68875,253476711180.21063,258466493393.17902
7542068198931.6455,7366332544839.989,7194680175613.275,7027014798687.756,6863241957681.422,6703269008185.889,6547005073806.543,6394360988753.193,6245249231528.185,6099583853051.872,5957280401768.611,5818255847777.578,5682428507745.432,5549717972219.937,5420045036923.477,5293331639626.797,5169500804255.527,5048476593941.791,4930184074780.019,4814549292063.292,4701499260748.79,4590961971815.359,4482866416021.867,4377142626342.782,4273721740041.6904,4172536080941.124,4073519261959.517,3976606307418.6455,3881733793987.7334,3788840008438.583,3697865119659.1787,3608751361635.6133,3521443223391.3057,3435887641199.0146,3352034187786.862,3269835252776.3057,3189246208247.95,3110225553157.2734,3032735030339.186,2956739710063.735,2882208034544.624,2809111818458.323,2737426201397.7285,2667129549245.1157,2598203302682.0156,2530631772428.935,2464401882290.206,2399502862629.0537,2335925898472.078,2273663737993.6665,2212710268616.51,2153060069341.617,2094707949128.4995,2037648482159.2935,1981875551586.923,1927381913856.4685,1874158795840.8135,1822195536867.455,1771479287152.6865,1721994773232.5588,1673724139667.0186,1626646874526.9963,1580739824574.5183,1535977302995.272,1492331290637.9968,1449771728983.7222,1408266900232.9622,1367783887500.8645,1328289105821.306,1289748892806.0547,1252130146518.6287,1215400997550.1807,1179531502562.1545,1144494347800.4556,1110265553377.7578,1076825172514.9489,1044157984439.3044,1012254185216.3796,981110087348.6626,950728846345.3715,921121240417.2351,892306537652.1869,864313493054.0735,837181525129.0142,810962127600.2202,785720575491.356,761537985256.5554,738513784721.9404,716768639087.3186,696447862797.7722,677725322428.2543,660807801662.9387,645939755127.6088,633408322882.0825,623548412168.6858,616747578893.2534,613450360864.0782,614161632039.6423,619448467506.91,629939939769.822
1461295192828.5708,1420431839841.6309,1380614977919.9888,1341839590674.575,1304096441524.5894,1267371978859.1528,1231648356367.4365,1196903555672.7014,1163111611214.7031,1130242946749.2402,1098264837104.3325,1067142004950.7712,1036837353314.2689,1007312820697.5837,978530368591.8074,950453028955.7603,923045966861.7761,896277576847.7028,870120615318.1986,844553182820.1287,819559564067.1241,795130918947.6125,771265777575.6731,747970312079.4286,725258370126.1064,703151256343.3018,681677209220.5801,660870695732.35,640771457561.3168,621423354889.2507,602873045877.1538,585168547395.5005,568357731442.4844,552486819624.0043,537598944126.54175,523732846458.8355,510921783098.98474,499192702692.0111,488565748098.2395,479054125865.7567,470664353637.28125,463396909985.66394,457247278017.73773,452207380013.0689,448267400414.9541,445418144829.74677,443655096499.31165,442991596601.84985,443501705473.52844,445311821284.8346,448491602549.32886,453128435427.094,459370405537.8273,467425892789.8002,476612060928.6391,488111994206.0829,502386009264.87195,519880221763.23395,541443947431.5748,568028195324.6984,599797367174.5215,631396677206.2306,663496103428.6808,698208853322.1228,735306808987.9009,774658360858.1979,816898333126.2659,860387841301.4851,902917314917.3497,942808460963.0432,979636228308.8076,1012899884166.1586,1041978596644.217,1066160288985.3779,1084712211174.3732,1096971370427.7048,1102412662320.176,1100687955608.645,1091652592684.2783,1075401312665.4049,1052228045199.006,1022635829594.2705,987311204734.1714,947108814659.0028,902945683583.459,855842453573.5725,806886570404.5505,757178072278.6049,707783627460.9702,659702577324.0084,613800198791.21,570787638768.8656,531203674117.64124,495401438460.99207,463545256131.6393,435617763547.90344,411436977215.3833,390685223880.574,372952178149.79205,357790253664.8251
12798788334686.969,12507836109443.16,12222342210596.248,11942353275446.203,11667891398999.605,11398957137177.0,11135532277727.752,10877582380343.672,10625059090985.86,10377902238281.314,10136041722056.117,9899399205691.55,9667889625086.285,9441422527647.97,9219903255134.719,9003233983844.13,8791314635476.057,8584043671739.127,8381318785042.902,8183037496120.213,7989097669293.307,7799397955113.427,7613838169004.641,7432319613677.103,7254745352207.093,7081020437813.764,6911052105408.713,6744749929898.834,6582025954836.599,6422794794840.498,6266973714653.861,6114482687289.51,5965244433363.903,5819184443446.141,5676230985027.942,5536315095553.299,5399370562821.359,5265333894001.31,5134144274450.171,5005743517526.812,4880076006546.558,4757088630171.292,4636730712516.285,4518953939391.791,4403712282223.804,4290961921982.5244,4180661180106.4297,4072770491887.7812,3967252517095.0557,3864072022134.7666,3763195317088.933,3664590544934.8433,3568227839146.524,3474079328327.0254,3382115763153.364,3292317531027.0186,3204663574559.083,3119131986531.716,3035703626833.923,2954362598118.782,2875094347370.4404,2797862319257.7236,2722659578916.8994,2649487442474.561,2578339401410.965,2509213193621.57,2442116818051.965,2377042663429.0317,2313975507746.357,2252912767814.7314,2193866357386.4915,2136851640588.1758,2081885500820.274,2028986484416.2798,1978175369542.1167,1929475687601.7356,1882913992475.695,1838519872506.138,1796325841964.3296,1756367213902.131,1718681819523.949,1683309805038.5713,1650293286972.5461,1619675794515.3433,1591501467777.9043,1565814887461.2153,1542660446801.8206,1522081562011.4355,1504119840042.997,1488814196170.9143,1476199805844.3638,1466307083323.1865,1459160582474.7268,1454777836597.2354,1453168164491.043,1454331464388.4214,1458257023041.5305,1464922375618.5261,1474292249999.0981,1486317604499.46
2646976210588.04,2578483343212.8564,2511343091632.619,2445543412874.867,2381074508282.9814,2317928522839.4507,2256099210766.53,2195581570166.8447,2136371453474.2275,2078465163893.1055,2021859050462.984,1966549115283.1445,1912530646239.3296,1859797887225.1382,1808343763104.517,1758159661867.4602,1709235281282.8965,1661558558189.527,1615115694176.731,1569891254279.033,1525868347830.9302,1483028894291.4043,1441353965265.3223,1400824193096.484,1361420234213.791,1323123271283.5317,1285915527375.969,1249780793919.1426,1214704937384.7034,1180676368531.2678,1147686455831.08,1115729866160.0361,1084804818378.8677,1054913238648.3474,1026060810086.9238,998256913547.915,971514460608.6493,945849625009.199,921281483744.3411,897831585208.4625,875523463632.5879,854382129679.8646,834433568353.5847,815704282868.0885,798220931390.6511,782010161035.7651,767099120959.6918,753519477852.913,741322713830.9404,730577152835.1383,721328114634.471,713625544215.7246,707541168244.2888,703172297047.8682,700483138247.0869,699858426144.7775,701549186284.9462,705653170793.7212,712326652374.3589,721835012441.7528,734468101709.0096,748546244835.2097,764545184956.0343,783452679913.5592,805432557186.415,830678736110.4215,859556326778.4263,891916807832.2661,927320717555.2913,965485833563.7019,1006344202843.9783,1049777958772.0942,1095560486596.3495,1143351503807.1147,1192705920856.2651,1243085261339.8748,1293868239879.564,1344360779876.455,1393807796163.0122,1441408926488.2493,1486336723923.4692,1527761411863.9675,1564874675703.8882,1596903945375.0806,1623120462521.6816,1642882206779.2158,1655656183823.5676,1661033822886.2292,1658744681516.8374,1648666801347.7156,1630830476580.2905,1605418562353.9653,1572761203567.7605,1533325309801.8652,1487699599836.2283,1436576281010.6772,1380730884818.9883,1321002151055.6782,1258273655429.396,1193457450471.012
1461295192828.5708,1420436497174.2068,1380626465317.9104,1341860722891.866,1304130802151.4219,1267424059284.8862,1231723705770.062,1197008940613.476,1163255183173.1208,1130434415729.5664,1098515649248.4629,1067465521847.7957,1037249030328.9149,1007830381025.8921,979173969126.2844,951245412977.5374,924012597297.5311,897446742143.8646,871523497939.7244,846223878587.4526,821535039001.2925,797450889216.6774,773972497974.3236,751108259728.0547,728873813210.1641,707291702842.7882,686390739197.549,666205189390.9135,646773743049.1128,628138312202.7311,610342715251.9918,593431300757.1339,577447572331.6924,562432879249.4924,548425238195.8677,535458349463.92737,523560864964.3314,512755959477.7612,503061246283.4062,494489071578.90027,487047193661.66296,480739871242.8032,475569356235.36316,471537795106.932,468649553744.2449,466914206017.0842,466351975740.5962,467013054337.07874,469042386943.833,472665798155.79614,478021481962.7252,485273126794.3427,494675916615.31104,506583022483.2711,520550693881.21265,538243337960.9077,560535214911.5345,587655507232.6969,620082627493.9236,658624954377.0286,703837174863.6758,747944416605.6825,792206258110.6611,839929866237.9778,890901329384.8977,945075675668.5417,1003434794438.9875,1063903448840.638,1122881728469.5676,1178018525849.2905,1228684493296.3933,1274281526073.124,1314048502302.3772,1347103631381.2905,1372550260902.539,1389589366154.5027,1397598985898.8704,1396176181231.0876,1385160088547.1719,1364653185542.8115,1335013646105.5337,1296872515611.3032,1251127622775.9648,1198833476298.344,1141097291564.2593,1079155274656.9597,1014336300020.8824,948000397812.0017,881487853856.7178,816078416532.1787,752926906867.332,693031953320.1404,637206028474.1292,586049631309.4801,539934741483.0617,499000218966.66156,463162747832.4325,432148287381.1284,405547378586.8134,382889457564.36597
2930500050832.6543,2856485657207.683,2783898324888.298,2712714410205.221,2642913452045.763,2574478022896.631,2507393528781.8438,2441647958127.9307,2377231582043.1436,2314136610827.927,2252356813588.749,2191887109355.7576,2132723139227.0974,2074860829717.6096,2018295960362.6953,1963023744380.1775,1909038433558.7446,1856332962898.6475,1804898649428.9924,1754724946708.6714,1705799267496.2249,1658106884393.3452,1611630913381.236,1566352383628.066,1522250394601.2437,1479302358179.9458,1437484317503.968,1396771341752.1426,1357137980757.6118,1318558767225.4243,1281008750999.6575,1244464047952.6685,1208902384891.7617,1174303621377.1553,1140650229589.9958,1107927714417.1682,1076124957703.5371,1045234473389.405,1015252563644.0864,986179370496.6233,958018821034.833,930778471061.399,904469256036.0454,879105164210.2471,854702852492.971,831281242538.2703,808861221138.7699,787466089714.4149,767124524969.9314,747869713427.7375,729730473766.3629,712736916057.3032,696924138076.2776,682333479922.2529,668954987750.5712,656917766837.5818,646304709318.122,637154215324.7683,629519675363.8091,623487491127.7557,619161270750.4597,616225705902.8655,614828783854.7858,615234007241.6455,617539381932.7076,621854690196.5533,628336531937.0991,637017895525.2244,647862350531.416,660872857247.3335,676099912716.8274,693575676024.388,713293817435.6492,735203265808.284,759205116860.0776,785150008859.0857,812835494225.175,842003757177.8813,872340572344.1504,903476272303.9034,934988832085.3821,966409951971.4441,997232990878.1669,1026920704686.1755,1054913409664.7026,1080646510531.9393,1103565262691.833,1123139351337.4365,1138878013653.8755,1150344856575.9438,1157171407290.4766,1159069118746.1062,1155839109624.8994,1147379212531.3447,1133688058575.7952,1114866089966.695,1091113598252.5146,1062726084746.8881,1030087324345.1025,993660329047.3365
2651204834083.3857,2583463999358.504,2517020645925.9404,2451858472231.616,2387964197171.4673,2325327317244.2314,2263939808597.9097,2203795776547.879,2144891057758.4148,2087222782708.4316,2030788908155.4883,1975587730821.3052,1921617394563.704,1868875403814.3494,1817358158680.4402,1767060522681.9204,1717975436047.4663,1670093591387.7412,1623403187069.0737,1577889760334.189,1533536112286.391,1490322333539.0825,1448225933755.626,1407222075930.1545,1367283913073.2114,1328383020825.9414,1290489912787.7139,1253574632073.9585,1217607397082.1816,1182559282939.7556,1148402916900.5132,1115113164498.3538,1082667782845.3826,1051048018039.4766,1020239125234.1718,990230792467.6648,961017452708.4338,932598472833.0648,904978212957.2048,878165954939.6503,852175703254.7515,827025868668.7832,802738849270.8439,779340529421.7223,756859722499.9817,735327599593.159,714777231630.9727,695243886489.5542,676767835324.3674,659393480569.8162,643160622001.9463,628109907076.6553,614286411990.9086,601740577806.6638,590469142282.1979,580596522561.1819,572205620985.0664,565361389915.7605,560151832475.3524,556691894266.5298,555094533430.756,555053408801.0923,556714821158.4633,560345190891.0703,566048957925.7715,573946385092.5865,584212868247.8108,596888216505.4443,611936771913.0427,629355445607.8843,649193449655.6671,671467578588.9392,696145839029.2046,723139655379.0266,752299457502.6022,783412147043.265,816199018967.6614,850314368623.5579,885346087426.934,920819535377.4896,956202731707.7747,990916692703.2375,1024347644047.4021,1055859542867.6406,1084806379443.1655,1110556142129.9973,1132510516231.0132,1150123525028.4502,1162919918179.84,1170512395694.9116,1172614818549.2568,1169053839147.2993,1159776506991.737,1144853518338.2793,1124478115522.6748,1098960720148.7491,1068719654147.8613,1034268621731.0571,996201784128.7927,955177054837.6477
2043473206808.5918,1989174150165.5037,1935962736593.0928,1883840905092.9585,1832812065736.6694,1782880609031.3108,1734051393893.8896,1686329224410.4111,1639718327935.4082,1594221849061.402,1549841375375.916,1506576511350.892,1464424516409.1074,1423380022067.2957,1383434845796.371,1344577909518.2944,1306795272109.226,1270070290175.4597,1234383916892.6558,1199715123278.2202,1166041441853.2388,1133339625164.7212,1101586400534.621,1070759297576.7773,1040837519755.3143,1011802825448.3339,983640374855.3574,956339515392.2983,929894456754.892,904304800043.9807,879575887921.8733,855718949036.749,832751018196.0327,810694623398.9789,789577241369.38,769430534121.4792,750289389728.9904,732190800887.5522,715172624092.5743,699272270952.4775,684525387437.061,670964584983.7214,658618288144.5767,647509766155.442,637656416743.6914,629069395217.3727,621753866101.2649,615711331069.2273,610948066221.3086,607475478145.9673,605292514441.1161,604400462638.8372,604813751714.7667,606565396963.9794,609611849945.7324,614172139556.912,620403689574.634,628384740784.4733,638242627709.0059,650190477635.6534,664486587319.3562,680447850075.106,698411521747.816,718974948185.8037,742357193640.2458,768793649690.1383,798620650552.561,831841218706.1754,868240531922.079,907634845813.4912,949907488738.2803,994848919702.1562,1042114554456.4552,1091217775828.8093,1141535041632.4873,1192317114716.1458,1242704559520.7522,1291747414549.882,1338429961116.522,1381701045687.1313,1420507957128.3792,1453834992234.0894,1480741518918.417,1500393473894.103,1512088427184.2412,1515293953299.4624,1509670878999.719,1495087356858.227,1471626015544.9878,1439583427049.985,1399460519129.184,1351946169775.2246,1297893750194.412,1238291751942.2617,1174229989226.255,1106863043677.5396,1037372864297.6035,966932619467.3999,896673770128.8147,827657536470.7743
3442482209739.927,3356697567316.6772,3272603230167.4023,3190164623563.257,3109350258617.761,3030131664241.955,2952483278647.328,2876382297857.143,2801808481155.7197,2728743915721.332,2657172744671.893,2587080864093.007,2518455595528.525,2451285340851.8584,2385559230100.0386,2321266766828.3384,2258397479095.743,2196940590646.5322,2136884725774.3438,2078217644199.8372,2020926019040.7795,1964995268487.1868,1910409446536.9058,1857151197832.7207,1805201780319.572,1754541156842.2163,1705148150478.1328,1657000671100.67,1610076000881.23,1564351133695.2886,1519803160114.2415,1476409688050.964,1434149288023.1633,1393001951276.6133,1352949548671.0156,1313976278236.046,1276069089561.1924,1239218073972.5222,1203416810368.983,1168662658282.078,1134956990087.191,1102305359294.1533,1070717603044.4463,1040207882080.1716,1010794667589.0553,982500714402.2585,955353242124.6199,929385652241.5759,904644447035.8123,881187426062.3953,859064443109.1936,838329932161.1681,819050268288.1888,801303796270.3976,785095632449.9722,770608906606.4236,757971736797.0305,747316948618.4204,738821060259.1675,732689436253.7827,729087560057.05,727232425727.7914,727370222456.2168,730014995317.2241,735294073750.0918,743357302197.5044,754446742662.7314,768570686385.1931,785637047668.5635,805624306310.1104,828629679903.1152,854712783463.3223,883889195563.9552,916122974034.6946,951322982010.7434,989342917275.2047,1029980358988.362,1072974397573.5907,1118003927687.824,1164689013974.2874,1212588840317.0251,1261206829188.63,1309995490810.3882,1358362878436.3447,1405674453113.372,1451273310926.0078,1494493739847.417,1534674292871.8474,1571172514975.5579,1603381274436.4119,1630739639520.9084,1652748698244.753,1668985297303.2686,1679113496193.7756,1682893970786.482,1680191074336.4104,1670977387694.8923,1655335935112.0955,1633460375242.464,1605653115484.9375
