step,loss,loss_pde,loss_ic,loss_bc,grad_norm,residual_log_mean,residual_log_abs_mean,residual_log_abs_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,N_eval_min,N_eval_max,seconds_elapsed
1,6636.2910917727595,0.827060320146967,203.08497376123768,6432.379057691375,325.65172061492706,0.8300761662515483,0.8415769117103987,1.1947515806442994,3.535741304386622e-05,3.0397637140411673,0.187059572329123,0.18705957558811476,1.0182160050369404,1.1038658690974124,3.4842407999094576
2,6619.870480363171,0.8406151268069226,205.5417609478927,6413.488104288471,329.9747462866023,0.8263629593031349,0.8434572445194132,1.191604826230374,2.834608137509964e-05,3.6052853100599247,0.187059572329123,0.187059575201874,0.9169613628073485,1.0152146464287712,3.534031300107017
3,6602.727425611474,0.6681738313511104,207.84892197579626,6394.210329804327,332.7398788551264,0.7467980939308008,0.7511961795977595,1.1782905482800943,0.0011845700467331688,3.728129583344951,0.187059572329123,0.18705957297546882,0.8112945695489466,0.9315519841748495,3.581782199908048
4,6585.38058591632,0.6977443092908112,210.12408600394463,6374.558755603085,333.63499916831506,0.7195951881407635,0.7469422267622554,1.1834287595772999,4.910290514796578e-05,3.676882355869016,0.187059572329123,0.1870595744880073,0.7253069808577316,0.8675009990020203,3.628431099932641
5,6568.64658341151,0.7562839843885847,212.52045308007263,6355.369846347048,347.29675835235804,0.813068326680074,0.824868964428187,1.173638536334991,9.136800078597684e-05,2.5465267365282216,0.187059572329123,0.18705957413903934,0.6431536454984065,0.8145717718699593,3.681147600058466
6,6550.497269279727,0.7782269231963725,214.99267513701253,6334.726367219519,371.86579512568807,0.8226240954509171,0.8299914030046736,1.1735166984661858,0.00028374693013609453,3.4689360835788627,0.187059572329123,0.1870595735770584,0.5701800657930838,0.7576114468807454,3.729772499995306
7,6532.668428789883,0.6342770106807092,217.51486824982257,6314.51928352938,382.3954928479915,0.6710755739104406,0.6963421465666787,1.1683219496524544,0.003572992426805477,3.668296969296175,0.187059572329123,0.18705957238421658,0.49226464200926284,0.6754533904034313,3.7848592000082135
8,6515.960375511135,0.8370912329918322,220.15382636429953,6294.969457913843,393.4459679876194,0.7981175623170946,0.852182216666007,1.1644607331485852,0.00012926551582191637,2.808297416489682,0.187059572329123,0.18705957354134398,0.42783746350041224,0.6650814729399184,3.8379510999657214
9,6495.018053244089,0.6436603036078787,222.96978708796163,6271.404605852519,419.5373919213937,0.711984611182058,0.7216517484844975,1.145012051314809,0.0,3.733769156277506,0.187059572329123,0.18705957362234255,0.3699213095537383,0.6273527347377954,3.891148000024259
10,6479.227444912945,0.6938332113194489,225.95277188200163,6252.580839819624,429.23255246879455,0.7747991715843953,0.7747991715843953,1.1552825728179572,0.00011787414462176293,3.733908137761028,0.187059572329123,0.18705957329874737,0.32139981392244765,0.5799804577541441,3.946841800119728
11,6455.189566762209,0.5198936391640208,229.16801166854813,6225.5016614544975,458.3012959684271,0.5675911646037711,0.6113465847633569,1.134067445527587,0.0007822878313030815,3.4324588695359926,0.187059572329123,0.18705957269055387,0.27012173602056494,0.5003261261708366,4.003208100097254
12,6433.512800386916,0.693982131779117,232.613129738704,6200.205688516433,481.708504024437,0.7443048085330768,0.7619789746366784,1.1452057009836962,0.0011351598417393277,3.724434214268062,0.187059572329123,0.18705957254624309,0.22663359673751388,0.4561707815202179,4.057132699992508
13,6415.648701488112,0.6659184002796232,236.29441666971616,6178.688366418117,495.34203996572836,0.7248846256286657,0.7318404463846554,1.1363024381790563,0.00038492820832104063,3.43645002274397,0.187059572329123,0.18705957276462223,0.19422922604722492,0.4273013455561289,4.107363299932331
14,6387.123964318039,0.7084225519801037,240.27296344580273,6146.142578320256,527.7944915122454,0.7826242412510352,0.7826242412510352,1.1321800370537085,0.0,3.363262400314257,0.187059572329123,0.18705957293700526,0.16100779384454547,0.38125479298093395,4.156409899936989
15,6366.128972242362,0.7115181265786972,244.51687243570697,6120.900581680076,545.1243046749662,0.7612061590082271,0.790780327379214,1.1239202907498256,0.0005489325065096487,3.5958830938964446,0.187059572329123,0.18705957257761127,0.1367585529594001,0.32841690431662,4.205087299924344
16,6341.750622888399,0.642025388252333,249.06030770879494,6092.0482897913525,567.1078038901622,0.6966744462748766,0.7191616544761417,1.1211246595546864,0.00011533250704642839,3.5686438873967306,0.187059572329123,0.1870595727090886,0.10822331755663547,0.3204236637392336,4.253400499932468
17,6315.337333769711,0.7610587595851643,253.90574549994963,6060.6705295101765,591.2552232695933,0.8245111603975074,0.8332098949354461,1.1155736365377402,0.00015154388265366942,3.4355871682104864,0.187059572329123,0.18705957262783254,0.09095995919407512,0.27938221105180555,4.299286300083622
18,6294.295831777884,0.5846707981785053,259.0395090081769,6034.671651971528,606.421974548398,0.6615789312806243,0.6943020203462048,1.10931463404946,2.6900994472511125e-05,3.6263535362615156,0.187059572329123,0.18705957262605621,0.07440580523451373,0.25367560547942414,4.345584500115365
19,6267.607187100798,0.696761487721646,264.48955603123534,6002.420869581841,628.9321896098879,0.7833471720695764,0.7833644597183432,1.1019851238441394,0.00012282335973780312,3.719666970559922,0.187059572329123,0.18705957253498473,0.06025937920271592,0.20731597097485344,4.391248400090262
20,6235.17467396,0.730951142191556,270.2405015320254,5964.203221285783,657.4700295368395,0.8143636212516846,0.8143636212516846,1.1033359143152126,7.98808414640001e-05,3.6389769383633106,0.187059572329123,0.1870595725043434,0.048199198455715055,0.17544280706438797,4.439501600107178
21,6203.370960744442,0.6824534255084006,276.2288686260851,5926.459638692848,684.5408249399648,0.7665009234797099,0.7665009234797099,1.102845072806492,0.0002260543702580775,2.96451296668496,0.187059572329123,0.18705957243484483,0.03757556704879144,0.12470153123944892,4.488528599962592
22,6170.976941782493,0.6754758712065303,282.4037394086235,5887.897726502662,712.1131523441746,0.7696262614728021,0.7696262614728021,1.0984434257326534,9.573952259329249e-05,1.5744967206986693,0.187059572329123,0.18705957243043578,0.03046794195622253,0.10531712432464045,4.534921300131828
23,6156.785843072854,0.6951073567253766,288.72233784099035,5867.368397875138,713.6896320239969,0.7710843719838518,0.7895944979353503,1.0964120615638948,0.00015574532898193771,3.455164421528409,0.187059572329123,0.18705957241743962,0.025260037712642333,0.11324483818507523,4.583600000012666
24,6135.259714642102,0.6326898824555773,295.2081422859851,5839.418882473661,725.9170359603726,0.7098877553077068,0.7329901502465005,1.086028459026325,0.00033277467948812645,2.458460214318156,0.187059572329123,0.1870595723857151,0.020614257148148445,0.09169736339379259,4.630598899908364
25,6106.525082705883,0.5414948919906122,301.8499766395722,5804.133611174319,746.0855532749226,0.6182463878912742,0.6829232900479231,1.0872884647955512,0.00026032950792455323,3.4230398627129768,0.187059572329123,0.18705957237857188,0.016611497971317373,0.07474013782730739,4.678499100031331
26,6082.646372162445,0.5821555512159826,308.585030585101,5773.479186026128,760.4851835943158,0.668108119030714,0.6915620176933479,1.0878096848549446,0.00011801767901779836,3.589621762342122,0.187059572329123,0.18705957238020232,0.013761857459636909,0.07022772567186833,4.723185400012881
27,6058.610641363167,0.7248870247773167,315.37198072447967,5742.5137736139095,775.0671594952413,0.8086038192250694,0.8137748387718676,1.094121005373295,0.000997671610155501,3.101156809277682,0.187059572329123,0.1870595723430795,0.011313959654212929,0.04719025583357338,4.76934830006212
28,6031.956398432712,0.6675961153957939,322.16848010648033,5709.120322210836,792.3449797059874,0.7634100606507409,0.7634100606507409,1.0912490273486575,8.74500889839272e-05,1.3613816161449053,0.187059572329123,0.18705957236319853,0.009173274112147224,0.04430601606415082,4.81590549997054
29,6011.690600164451,0.6765803361392325,328.91629131739523,5682.097728510917,802.0716502309549,0.7777565581855865,0.7777565581855865,1.0928000933960997,6.0147685342133717e-05,3.3309281527053414,0.187059572329123,0.18705957235688947,0.007791538235172299,0.03254611234950933,4.864395899930969
30,6005.098077373405,0.6952379390749549,335.5874900586927,5668.815349375638,796.4948157192734,0.7765971160638171,0.7765971160638171,1.0876104325361693,0.00014086928233473378,3.5432285297659476,0.187059572329123,0.18705957235169476,0.0065616345632476935,0.03293324467346527,4.912659399909899
31,5972.44524729939,0.6619119011300018,342.2229178485455,5629.560417549715,820.0653292927857,0.7240389826718481,0.7576673930664009,1.097256004384911,0.0006295883751493425,3.5651695666733234,0.187059572329123,0.18705957233879797,0.005494722398296679,0.021574021368008414,4.95911439997144
32,5956.99365436186,0.6074557823000072,348.71509531764474,5607.671103261915,824.1844423511195,0.671605270872508,0.6896566505757441,1.1006145277450876,0.0,3.6620240774659223,0.187059572329123,0.18705957234839415,0.004681539565529766,0.022215992967657812,5.027283600065857
33,5943.588116054173,0.6469749636833761,355.0586809719083,5587.882460118582,826.2246713743754,0.7226929999935614,0.7472017524613399,1.0955888872028858,0.00042514937760752824,2.9909539932730285,0.187059572329123,0.18705957233874088,0.004082039873812064,0.019779445495830696,5.074657199904323
34,5923.283220113777,0.704536022975118,361.25683140377936,5561.321852687022,836.2238591617536,0.7749198363620622,0.7924595011827624,1.0983005813831166,3.3176381540531152e-06,2.7936281515115775,0.187059572329123,0.18705957234288353,0.00355793317008736,0.016416374546465284,5.124795299954712
35,5910.268912175478,0.7233741849668114,367.2715918581822,5542.273946132329,837.9185150171762,0.7790997581633858,0.7880320905585197,1.1080849294350275,5.386176442745416e-06,3.564684992498435,0.187059572329123,0.1870595723405886,0.003023391855985308,0.012523917240927801,5.171245000092313
36,5893.943915302938,0.6026454357085974,373.1093526013711,5520.231917265858,843.1956255867191,0.7023331653422177,0.7265725121073094,1.096560026039206,0.0,2.9917298197444833,0.187059572329123,0.18705957233903484,0.002715657169750844,0.010136808601119679,5.217148799914867
37,5879.541907857783,0.63446351521558,378.7561902883917,5500.151254054176,846.5460703058103,0.720218497269224,0.7424414462056563,1.1018078455224827,0.00022193763411899187,3.6652181640082517,0.187059572329123,0.18705957233572965,0.002385309669935469,0.009424786388859867,5.260056700091809
38,5867.517474050352,0.6955982225116198,384.207187472864,5482.614688354976,847.2993135639775,0.7715531334463474,0.7947460769766169,1.119902061960692,0.000419560984853129,2.861115040078496,0.187059572329123,0.18705957233373574,0.002090129039569504,0.008629079069400683,5.304212900111452
39,5856.191016119806,0.7321484170335906,389.47176488622716,5465.987102816545,847.2823518549532,0.8232209501966712,0.8232209501966712,1.107596823483281,7.68361106993562e-06,3.463608062240896,0.187059572329123,0.18705957233622034,0.001860587383100779,0.009086742297673894,5.347648200113326
40,5849.473283063461,0.6070130332091018,394.5611987329849,5454.305071297267,842.1997360500378,0.7285394554862815,0.7351485088778298,1.1108693595055106,0.00019054767632883246,3.482735984120443,0.187059572329123,0.18705957233391995,0.0016632126833792127,0.006858132248881339,5.393153900047764
41,5834.886686333974,0.5942629767099364,399.5155591077002,5434.776864249563,845.6920802961517,0.7100399851723886,0.7155514451714604,1.1225331018056433,6.015525364792135e-05,3.191738309325323,0.187059572329123,0.18705957233410583,0.0014679442439503013,0.005694909042334486,5.436097899917513
42,5825.791231154663,0.6176515097363127,404.317521766537,5420.85605787839,843.4445777436255,0.6613789763728416,0.7175767273152924,1.1257566607809315,0.0,3.5427229703965954,0.187059572329123,0.18705957233439982,0.0013234667122803846,0.0063771989481623895,5.480702500091866
43,5809.859680642115,0.7137791011521447,408.9858647721822,5400.160036768781,848.5185876082334,0.767785782636908,0.7685181024167161,1.1226780778551078,0.00037859827621804926,2.608027569237129,0.187059572329123,0.18705957233183665,0.0012026465002568946,0.005016153626606053,5.525437300093472
44,5799.333616811671,0.7707962478264885,413.49028751008575,5385.072533053759,847.8319663651889,0.8454351943475124,0.8454351943475124,1.1295784364723387,7.795228876999322e-05,2.518900612205419,0.187059572329123,0.18705957233269302,0.0010850837584839203,0.004626612591113927,5.568781000096351
45,5792.3575090342665,0.5315919069198358,417.8383848316769,5373.98753229567,843.1279837701449,0.6625017818685108,0.6625017818685108,1.1291890676667824,0.001107924152863024,3.5974079051114516,0.187059572329123,0.1870595723300843,0.0009823300273847822,0.0036253797466403847,5.614753399975598
46,5776.087519040267,0.7378178112861343,422.0620786270639,5353.287622601917,848.7084086685626,0.8047612785959087,0.8093663728841133,1.1348560460528003,1.4998901927715247e-05,3.079802430473847,0.187059572329123,0.1870595723321211,0.000885775267977956,0.0026534949145843004,5.659460399998352
47,5766.2076728464635,0.5577840818107244,426.12111440403123,5339.528774360621,847.1729763947707,0.6736044036794587,0.6956854305989886,1.1361435987843307,0.0003232588140876444,3.532127302652041,0.187059572329123,0.18705957233097595,0.0008047651565670432,0.0026979884405675184,5.704904699930921
48,5759.847028861864,0.6818958400705775,430.0244484162698,5329.140684605523,842.4937643887636,0.7885599163263453,0.7885599163263453,1.1336229825154756,0.0003104255534824643,3.6934460682183525,0.187059572329123,0.18705957233089063,0.0007383358445450882,0.003162418901992357,5.750982299912721
49,5750.476904533316,0.5837917729963297,433.80095906860805,5316.092153691711,840.7224894359579,0.7006467037417141,0.7205961363921335,1.1215907564792997,0.0003729991782585665,3.3088681775761635,0.187059572329123,0.18705957233059056,0.0006714803927800069,0.0026306909420325394,5.795149400131777
50,5741.078257327652,0.6238469144992677,437.4559523976207,5302.998458015532,839.2554819148016,0.7296324747194078,0.7296324747194078,1.1336379368208014,0.001200292015606029,1.9375090784722822,0.187059572329123,0.1870595723296568,0.0006135151911781128,0.0022403692691901345,5.841970599954948
51,5728.833138995483,0.7399363162967861,440.9910511096408,5287.102151569546,840.7732639675436,0.7941399833721041,0.7941399833721041,1.133565998859836,0.000585940461056797,3.1090166579384024,0.187059572329123,0.18705957233007386,0.0005609485366443809,0.0023264357298949366,5.890978999901563
52,5722.675958184496,0.5950676149782929,444.38348569445884,5277.697404875059,836.0179124278341,0.7117681233697867,0.7117681233697867,1.140297350863326,0.00017266613775584333,3.719471303615512,0.187059572329123,0.1870595723305906,0.00051156254669684,0.002646154629822146,5.9345651001203805
53,5710.743409956648,0.709358517461927,447.6596985099532,5262.374352929233,837.3324677964849,0.7946656146115781,0.7946656146115781,1.1404024719506238,0.00024184666041199288,3.695602281607403,0.187059572329123,0.187059572330307,0.00047046196323775327,0.0017497530207254222,5.9791029000189155
54,5702.523390275758,0.7078563622092461,450.7942134268194,5251.02132048673,834.9754240350773,0.8164500429126682,0.8164500429126682,1.1280359220359226,3.274726032622202e-05,3.3551275390817725,0.187059572329123,0.18705957233059195,0.00044075172255738705,0.002248746887342495,6.048316099913791
55,5690.910611590435,0.7840757357752748,453.79210240341564,5236.334433451244,836.113167529209,0.8388518072624911,0.8583110263997549,1.1215604165782405,5.527000826053424e-05,3.2748684431403836,0.187059572329123,0.18705957233037737,0.00040403988913484553,0.001355680660260143,6.094455499900505
56,5683.028928088071,0.6626317570709747,456.62643966625853,5225.739856664741,833.5022528166897,0.716813854021273,0.7522446819836269,1.1284583652063445,0.00012050832429652547,3.0769973900875165,0.187059572329123,0.18705957233021125,0.00036791390655991176,0.001781007992700046,6.143116899998859
57,5673.7418106024625,0.7336277428770374,459.3029912950229,5213.7051915645625,832.5825810662741,0.8294984895641828,0.8294984895641828,1.130711298077545,0.0,3.3368793947980597,0.187059572329123,0.18705957233033796,0.0003413589432849602,0.0017277503139230025,6.189751900034025
58,5662.754731587309,0.6391215445182703,461.81063539080213,5200.304974651988,833.2222979294103,0.7007864915062164,0.7410749400278032,1.1382957621709389,0.000716285557964616,3.7126219073505786,0.187059572329123,0.18705957232956244,0.000309226335787111,0.0013022260988730739,6.235677700024098
59,5655.111277292514,0.6676358953887317,464.12172528110807,5190.321916116018,830.9409273556316,0.743298501981587,0.7642195488211317,1.110277363128296,0.0,3.213100473772683,0.187059572329123,0.18705957233016915,0.0002869255668865623,0.0019028984519037782,6.279632699908689
60,5650.997905569858,0.5181013868927472,466.2365712426246,5184.24323294034,825.3685471524445,0.6330828079331142,0.6492094268298846,1.135505723422064,0.0020866458435836177,3.6438586347805475,0.187059572329123,0.18705957232922404,0.00026282765174627905,0.0013373257265688868,6.325567499967292
61,5639.68807573802,0.6593136307510853,468.192746988711,5170.836015118558,826.8794357960481,0.7674140294820166,0.7905989804636787,1.125399326751756,0.00014048647684890975,3.5303020420666673,0.187059572329123,0.18705957232985213,0.0002454240467095719,0.002443639149785735,6.387045500101522
62,5623.0241675574525,0.6862115580291166,469.9466872536949,5152.391268745729,833.49598825743,0.7734782428368618,0.7734782428368618,1.130043626731693,0.00036727368137576266,3.711566307698483,0.187059572329123,0.1870595723295846,0.0002245305929578279,0.000694755434776933,6.434248100034893
63,5615.790432488425,0.6955330920270583,471.3945107049334,5143.7003886914645,831.3335345833248,0.8016208635249262,0.8016208635249262,1.1052313905971551,0.00014291019380893721,3.573762956001537,0.187059572329123,0.18705957232972056,0.00020921400741918665,0.0014274238872506156,6.4810003999155015
64,5606.0230622362205,0.6815947690808835,472.53278562609455,5132.808681841045,831.7332736781908,0.7662889787153916,0.7890021017896512,1.13127656274073,0.00032530567270169786,3.1880805084377752,0.187059572329123,0.1870595723295557,0.0001912175948179876,0.0011607220285606262,6.525731000117958
65,5602.328452884378,0.5311674997296559,473.32704587715176,5128.470239507496,826.4296968930586,0.702623684802752,0.702623684802752,1.1221762203482426,0.0007454978407014021,3.4665476313426264,0.187059572329123,0.18705957232938056,0.00017805265693293114,0.0022773982619678592,6.56950440001674
66,5587.177918721495,0.5201751375272392,473.8187148057279,5112.83902877824,832.2791241821659,0.5980514659369403,0.6554928581187187,1.1104969227978332,0.001035247353882461,3.5843135411173725,0.187059572329123,0.18705957232928896,0.00016544202734270616,0.0010797374247914113,6.616528700105846
67,5575.603435782613,0.556875212405864,473.89608302438575,5101.150477545822,834.9936365505908,0.6930933384121266,0.6930933384121266,1.118800252120233,0.0010847702007917015,3.733413195573524,0.187059572329123,0.18705957232927017,0.00015193464234768524,0.0011840375720740834,6.667235699947923
68,5565.294434622687,0.5110707838127654,473.4915761110926,5091.291787727781,836.649281989065,0.5754944699321527,0.6328301832449481,1.0513925530605055,0.00038040474802320673,3.68106066278901,0.187059572329123,0.1870595723294427,0.00014419326152546142,0.0035916494478086605,6.714587799971923
69,5554.666038093744,0.5127529543920595,472.55196493452854,5081.601320204823,838.7980418704836,0.6695942676962567,0.6695942676962567,1.1008829170112935,0.00017853012439691257,3.4208120669694497,0.187059572329123,0.18705957232951295,0.00013061666327843018,0.005572339281180564,6.762956199934706
70,5543.973149094327,0.5308799861438382,471.0190253031828,5072.423243805,841.3982487572208,0.6496433899990512,0.678370066688221,1.080220653791985,0.00023547836048828236,3.4594158958643524,0.187059572329123,0.18705957232945875,0.00012216185341547907,0.005584460202062549,6.8111453000456095
71,5527.1464928699015,0.5980927529982909,468.8313834464873,5057.717016670416,850.5645277119168,0.7445861599015906,0.7445861599015906,1.0167164596028437,0.00015849287608531853,3.673579072759391,0.187059572329123,0.18705957232944836,0.00011549151886578364,0.002262303729026453,6.860743100056425
