step,loss,loss_pde,loss_ic,loss_bc,grad_norm,residual_log_mean,residual_log_abs_mean,residual_log_abs_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,N_eval_min,N_eval_max,seconds_elapsed,w_pde,w_ic,w_bc,weighted_loss_pde,weighted_loss_ic,weighted_loss_bc,grad_pde_max_for_weighting,grad_ic_mean_for_weighting,grad_bc_mean_for_weighting,target_w_ic,target_w_bc
1,6622.812782170611,0.7786551701733089,200.79866489360734,6421.235462106831,369.0533243781553,0.8187415815857022,0.8187415815857022,1.1863029645438965,0.00016149177375168744,3.72171080109632,0.187059572329123,0.18705957500516074,0.9049505432657466,1.1410565116290436,2.142228400101885,1.0,1.0,1.0,0.7786551701733089,200.79866489360734,6421.235462106831,,,,,
2,6598.166980331976,0.6548921372832267,203.57961097617212,6393.932477218521,383.52566540556717,0.6705298034269492,0.7320663385757249,1.180882551982355,8.785332470046675e-05,3.536109757118321,0.187059572329123,0.18705957491622774,0.7715254392309433,1.060983194453169,2.7228727999608964,1.0,1.0,1.0,0.6548921372832267,203.57961097617212,6393.932477218521,,,,,
3,6585.149724388139,0.7426170857977231,206.37599814583479,6378.031109156506,385.5437515518068,0.7884792877082728,0.7884792877082728,1.1761295680677557,0.001999420996193088,3.142261504407031,0.187059572329123,0.18705957261555162,0.6567893053935739,0.9454575051921165,2.756657399935648,1.0,1.0,1.0,0.7426170857977231,206.37599814583479,6378.031109156506,,,,,
4,6559.806764354554,0.8079179197914453,209.3533543085456,6349.645492126217,404.9717913683539,0.8394748871811092,0.8630648150989866,1.1694611661545855,0.000712784617024502,2.8435620435773084,0.187059572329123,0.18705957322341918,0.5831579959855716,0.8900372373410899,2.7879759001079947,1.0,1.0,1.0,0.8079179197914453,209.3533543085456,6349.645492126217,,,,,
5,6536.761519474271,0.8076194582005554,212.4697311246068,6323.484168891464,423.21164951778206,0.859590339207755,0.859590339207755,1.165103900876976,0.0009073303246481187,3.697730465049344,0.187059572329123,0.18705957295938364,0.48093161652733424,0.8251767780552962,2.823204099899158,1.0,1.0,1.0,0.8076194582005554,212.4697311246068,6323.484168891464,,,,,
6,6520.301231784785,0.7727195083326102,215.73554654068764,6303.7929657357645,435.8456672522859,0.8234353134042413,0.8277752784830065,1.1561496602074,0.00016200951037406014,3.2262852169203895,0.187059572329123,0.18705957364188025,0.42234686976917807,0.7644893878386657,2.8634999999776483,1.0,1.0,1.0,0.7727195083326102,215.73554654068764,6303.7929657357645,,,,,
7,6494.962231441097,0.5462721898891765,219.20593950852347,6275.210019742684,458.7776402059966,0.6576572330688891,0.6595567988576267,1.126034623108259,0.0,3.689895072533446,0.187059572329123,0.18705957373236748,0.35588911650729416,0.6978634983895958,2.8966723000630736,1.0,1.0,1.0,0.5462721898891765,219.20593950852347,6275.210019742684,,,,,
8,6461.689529438574,0.6021411738532901,222.88195465237433,6238.2054336123465,494.48264289183965,0.6698262614642386,0.7157653757558091,1.1443944670460462,7.69541184044431e-05,3.727067784044054,0.187059572329123,0.18705957338580004,0.29138488809144625,0.6314687927126847,2.9345617999788374,1.0,1.0,1.0,0.6021411738532901,222.88195465237433,6238.2054336123465,,,,,
9,6452.34593677676,0.5918071038371328,226.72730897838358,6225.026820694539,495.90240182380376,0.6934609984579853,0.7171635537456719,1.141629930111019,0.0007220547462723007,3.5476704619757924,0.187059572329123,0.1870595727437409,0.2387220672800387,0.5765590817356573,2.9687653000000864,1.0,1.0,1.0,0.5918071038371328,226.72730897838358,6225.026820694539,,,,,
10,6103.972982222698,0.6846203588671961,230.82024301783153,6188.878325838309,502.0841184310688,0.7686222290020722,0.7686222290020722,1.122968362208233,0.0005088730818253867,3.6882273452852634,0.187059572329123,0.18705957277847948,0.20104326655020033,0.5268255439488706,3.0136345999781042,1.0,0.9535699735707254,0.9506060386205488,0.6846203588671961,220.103253034102,5883.185108829729,0.041497835234739246,0.5812064769194722,3.423695605170807,0.07139947141450884,0.012120772410977502
11,6085.063344606832,0.47593753955835105,235.12361977799551,6164.888865711268,518.5343991252241,0.5965428563658515,0.6142132677426179,1.1258430241459136,0.0,3.485487832806369,0.187059572329123,0.1870595731015385,0.16942907835307397,0.48934215910309914,3.0483492000494152,1.0,0.9535699735707254,0.9506060386205488,0.47593753955835105,224.20682389755646,5860.380583169717,,,,,
12,6069.29142648564,0.4876060818196881,239.6656647810792,6143.728949216113,531.5971317729916,0.5065840818851505,0.5951932395439763,1.1233555060440845,0.004406318322928968,3.7221911517444677,0.187059572329123,0.18705957234066073,0.13822240859590476,0.36074096469895967,3.0808798000216484,1.0,0.9535699735707254,0.9506060386205488,0.4876060818196881,228.537981631104,5840.265838772716,,,,,
13,6036.118966514122,0.7154771666706543,244.47348288838432,6103.77031177993,563.348825549327,0.8068890156717209,0.8068890156717209,1.1109997041513233,0.000399102577379018,2.3967723333379123,0.187059572329123,0.18705957261135464,0.11542862404203486,0.35047505291615866,3.114155099960044,1.0,0.9535699735707254,0.9506060386205488,0.7154771666706543,233.12257261661983,5802.280916730831,,,,,
14,6004.982596998169,0.5799150261522553,249.49450089100768,6066.122013825261,593.3643306652747,0.6661882159182188,0.6817019897989138,1.1074976177492646,0.0008305319017531468,3.7336384430819054,0.187059572329123,0.18705957246110794,0.09985558641263981,0.27053839895031107,3.1484564000274986,1.0,0.9535699735707254,0.9506060386205488,0.5799150261522553,237.9104646206795,5766.492217351338,,,,,
15,5987.555459653315,0.6869862585889208,254.68711157472205,6042.467918126107,605.5354980886692,0.707958659585108,0.7677243922449916,1.1061106189099468,3.367186395045185e-05,2.8969297458395893,0.187059572329123,0.1870595726496277,0.07959594934311968,0.2943455821730402,3.183238700032234,1.0,0.9535699735707254,0.9506060386205488,0.6869862585889208,242.8619822531121,5744.006491141614,,,,,
16,5962.568437046446,0.5371990372301858,260.06236269262877,6010.948116826056,627.1085378190058,0.6572702073590097,0.6572702073590097,1.1046108366831755,0.0006826537546369693,3.7334825451928104,0.187059572329123,0.18705957244602253,0.0638996114141629,0.24003644239376268,3.215669000055641,1.0,0.9535699735707254,0.9506060386205488,0.5371990372301858,247.9876603195504,5714.043577689666,,,,,
17,5948.362100302778,0.5896969410817059,265.5950741812225,5990.398423891411,636.2642690783754,0.7122345390691182,0.7317389482084949,1.0842952780169592,0.0006701849218041026,3.660673322279093,0.187059572329123,0.187059572425691,0.054662835250324636,0.20405605927221732,3.2508573001250625,1.0,0.9535699735707254,0.9506060386205488,0.5896969410817059,253.2634878675032,5694.508915494193,,,,,
18,5916.452312199813,0.4794982126208214,271.30361690944466,5951.2201704405625,664.7092751595249,0.6120042965577992,0.6319623746371538,1.0976313625223426,0.0018993551649821167,3.4211763580315724,0.187059572329123,0.18705957235283746,0.044204086357826515,0.16713929248602635,3.284556800033897,1.0,0.9535699735707254,0.9506060386205488,0.4794982126208214,258.70698280598134,5657.26583118121,,,,,
19,5899.472488549416,0.6241072223796567,277.11046920349065,5927.380986038154,676.6275414087785,0.706153079314793,0.7230892710674826,1.0934677450550674,0.0002462097186021611,3.7338312252289247,0.187059572329123,0.18705957243745835,0.03663893622159622,0.15342185533106195,3.3174340000841767,1.0,0.9535699735707254,0.9506060386205488,0.6241072223796567,264.2442227945439,5634.604158532493,,,,,
20,5586.754105102171,0.7281733618805292,283.01601036448227,5895.644329959662,662.1529357451097,0.7988087945744524,0.8238475222359505,1.0855207308331591,0.00017325335476946896,2.9375273420949926,0.187059572329123,0.18705957242475676,0.032278256003171225,0.12443032851654168,3.3601134000346065,1.0,0.9090381697662216,0.9038458355747663,0.7281733618805292,257.272356076267,5328.753575664024,0.051649319556109935,0.8206915767768712,3.3534212648341852,0.06293389748065162,0.015401977704898883
21,5572.047629246368,0.5713339037190356,288.95694980878085,5873.571785802735,670.9517692440671,0.6385143068503782,0.6624243923652078,1.0772557297771523,0.0001296530258881115,3.538104765028832,0.187059572329123,0.18705957241962026,0.02652922610417964,0.12526323670704514,3.392241100082174,1.0,0.9090381697662216,0.9038458355747663,0.5713339037190356,262.6728967954041,5308.803398547245,,,,,
22,5547.455016402567,0.5756615888585714,294.93431290337236,5840.346438564862,690.9968226858979,0.694849717512501,0.694849717512501,1.0870646812489464,0.001660232042570521,3.122710777490884,0.187059572329123,0.1870595723423626,0.021664791077694336,0.08005748858348773,3.424422499956563,1.0,0.9090381697662216,0.9038458355747663,0.5756615888585714,268.10654800293975,5278.772806810768,,,,,
