step,loss,loss_pde,loss_ic,loss_bc,grad_norm,residual_log_mean,residual_log_abs_mean,residual_log_abs_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,N_eval_min,N_eval_max,seconds_elapsed,w_pde,w_ic,w_bc,weighted_loss_pde,weighted_loss_ic,weighted_loss_bc,grad_pde_max_for_weighting,grad_ic_mean_for_weighting,grad_bc_mean_for_weighting,target_w_ic,target_w_bc,loss_weighted,loss_unweighted,boundary_loss_form,bc_eps,frac_flux_left_clamped,frac_recruitment_flux_clamped,flux_left_min,recruitment_flux_min,boundary_residual_abs_p95,boundary_residual_abs_max,weight_update_hard_set,causal_fraction,t_max_current
1,19.117078200361377,0.7998208762980986,9.46642903057854,8850.828293484736,3.3887516826275266,0.8082519051362441,0.8313846282803755,1.193256994613696,0.0002892078190743774,3.026874564046844,0.187059572329123,0.1896995904667738,1234496.3967548085,1272002.1901022182,2.167975500000466,1.0,1.0,0.001,0.7998208762980986,9.46642903057854,8.850828293484735,,,,,,19.117078200361377,8861.094543391613,log,1e-30,1.0,0.0,0.0,72069519243.15721,94.07909655545463,94.07912079719293,0.0,0.02,0.8
2,19.07721685864854,0.8135247169621886,9.41699687339489,8846.69526829146,3.357110976315463,0.8030973788605181,0.8258436563345326,1.190496510625585,0.0001353259975001922,3.066681470333008,0.187059572329123,0.19021173084305154,1203245.8081077405,1273283.9897878633,2.669905700000527,1.0,1.0,0.001,0.8135247169621886,9.41699687339489,8.84669526829146,,,,,,19.07721685864854,8856.925789881818,log,1e-30,1.0,0.0,0.0,70507417245.21674,94.05711433579496,94.05720554153851,0.0,0.020245,0.8098
3,18.88947645358725,0.6790875084954463,9.367749759138013,8842.639185953789,3.3397942899621658,0.7468941759930452,0.7474128926922091,1.1893354544071244,0.00032684059789551967,3.4792522320118313,0.187059572329123,0.18945669326649767,1175665.153656495,1272971.326689247,2.730014400000073,1.0,1.0,0.001,0.6790875084954463,9.367749759138013,8.84263918595379,,,,,,18.88947645358725,8852.686023221422,log,1e-30,1.0,0.0,0.0,69003862210.69475,94.03558172237823,94.03561588473309,0.0,0.02049,0.8196000000000001
4,18.880918261872786,0.7237723959242395,9.318513395554698,8838.632470393848,3.35425141295685,0.7556293364773783,0.7954341451937755,1.1801695932346798,8.977678210964762e-05,3.731463769877258,0.187059572329123,0.1902553986181779,1150501.852010291,1277609.880790714,2.7892090999994252,1.0,1.0,0.001,0.7237723959242395,9.318513395554698,8.838632470393849,,,,,,18.880918261872786,8848.674756185326,log,1e-30,1.0,0.0,0.0,67546750535.729546,94.01420405191155,94.0142661862887,0.0,0.020735,0.8294
5,18.854683065063785,0.750850084668706,9.269168668752506,8834.664311642573,3.376450152383192,0.8024178045228046,0.8087051817441252,1.1855399634981085,0.0,3.729769492620325,0.187059572329123,0.1906205121404971,1128541.2882203462,1282594.6846295816,2.846913699999277,1.0,1.0,0.001,0.750850084668706,9.269168668752506,8.834664311642573,,,,,,18.854683065063785,8844.684330395994,log,1e-30,1.0,0.0,0.0,66142891605.381096,93.99311729196862,93.99316311828363,0.0,0.02098,0.8392
6,18.66777682662233,0.617446188219293,9.219607761101535,8830.7228773015,3.368731258052047,0.7363615159062891,0.7363615159062891,1.1830424155382353,0.0,3.5652882150119787,0.187059572329123,0.19056485824607394,1095035.0225667253,1286858.6816038017,2.905620199999248,1.0,1.0,0.001,0.617446188219293,9.219607761101535,8.8307228773015,,,,,,18.66777682662233,8840.55993125082,log,1e-30,1.0,0.0,0.0,64764234771.79834,93.97217009442858,93.9721801777124,0.0,0.021225,0.849
7,18.758685638095137,0.7621848066401994,9.169751587066111,8826.749244388826,3.4243706551344584,0.8028245770182844,0.8028245770182844,1.1804655957460328,0.001250461056078546,3.7313693266130548,0.187059572329123,0.18783370912970382,1067121.289708621,1270714.2133143907,2.9670587000000523,1.0,1.0,0.001,0.7621848066401994,9.169751587066111,8.826749244388827,,,,,,18.758685638095137,8836.681180782532,log,1e-30,1.0,0.0,0.0,63416631313.35654,93.95101122466066,93.95111097344754,0.0,0.02147,0.8588
8,18.659127027660183,0.7168592405955858,9.119479365762745,8822.788421301855,3.442207589851512,0.7478646853442612,0.7603768413037372,1.1793522580129785,0.0,3.6669519128357315,0.187059572329123,0.19041180321129705,1048063.9750520133,1296574.7298561756,3.0287539000000834,1.0,1.0,0.001,0.7168592405955858,9.119479365762745,8.822788421301855,,,,,,18.659127027660183,8832.624759908213,log,1e-30,1.0,0.0,0.0,62096798142.18494,93.92989614290177,93.92997153757622,0.0,0.021715,0.8686
9,18.7521441906593,0.8646465032679174,9.068700744171615,8818.796943219771,3.5039934007954283,0.8684040631142083,0.8855200565887099,1.169756989189283,0.00011022617252487432,3.355640562151258,0.187059572329123,0.18982577131779446,1025623.2799324928,1297768.6360629797,3.087724700000763,1.0,1.0,0.001,0.8646465032679174,9.068700744171615,8.818796943219771,,,,,,18.7521441906593,8828.73029046721,log,1e-30,1.0,0.0,0.0,60785691086.764175,93.90862286158877,93.90864486597667,0.0,0.02196,0.8784000000000001
10,117.30408248516761,0.6315713902257966,9.017296259870626,8814.751586730863,8.426717056195368,0.7084764455405408,0.7232712925790586,1.173551228975642,0.0004957428422903143,3.6714639894420626,0.187059572329123,0.18870967037428435,995845.8546608,1291974.5223654662,3.162949400000798,1.0,1.5407568364645319,0.011659891855697534,0.6315713902257966,13.893460858821722,102.7790502361201,0.03149806155121476,0.02044323984535495,2.7014025465273446,1.5407568364645319,0.011659891855697534,117.30408248516761,8824.400454380959,log,1e-30,1.0,0.0,0.0,59492784172.09102,93.88706982118381,93.88709502332833,1.0,0.022205,0.8882
11,117.19695145125478,0.651911696879242,8.967379284484936,8810.415232662497,8.503550171631774,0.7028550776936773,0.7386766730327925,1.172335448386209,0.0003594546487645442,3.3995529270234837,0.187059572329123,0.1889624745388752,982525.2305916416,1297214.705108358,3.22264290000021,1.0,1.5407568364645319,0.011659891855697534,0.651911696879242,13.816550937740589,102.72848881663495,,,,,,117.19695145125478,8820.03452364386,log,1e-30,1.0,0.0,0.0,58138109077.11464,93.86399142495642,93.86400185242755,0.0,0.02245,0.898
12,117.10285822575835,0.6904390012531191,8.917188187767213,8805.673485898715,8.57766066427761,0.7170844127940226,0.7213417834810137,1.16896781344361,0.0001814568473515049,2.034230251104235,0.187059572329123,0.1893887494360035,942694.6465052317,1302922.8097518007,3.2819940999997925,1.0,1.5407568364645319,0.011659891855697534,0.6904390012531191,13.739218662343102,102.67320056216214,,,,,,117.10285822575835,8815.281113087734,log,1e-30,1.0,0.0,0.0,56685750918.47255,93.83873615310034,93.83875090891597,0.0,0.022695,0.9077999999999999
13,116.96590474592878,0.6913244814893645,8.866478460980941,8800.552717834691,8.673088094687145,0.7608284023409196,0.7706566200170956,1.1682819835435905,0.00015201811057884151,3.6597205019593195,0.187059572329123,0.18941088064390132,919621.033109924,1302170.0081812954,3.3434715000003052,1.0,1.5407568364645319,0.011659891855697534,0.6913244814893645,13.661087304121907,102.61349296031752,,,,,,116.96590474592878,8810.110520777162,log,1e-30,1.0,0.0,0.0,55162120873.618095,93.81139345639224,93.8114647656649,0.0,0.022940000000000002,0.9176000000000001
