step,fixed_loss,fixed_loss_pde,fixed_loss_ic,fixed_loss_bc,fixed_residual_log_rms,fixed_residual_log_abs_mean,fixed_residual_log_abs_p95,fixed_residual_log_abs_max,rms_dlogN_dt,rms_advective,rms_mu,rms_dg_dw,log_N_eval_min,log_N_eval_max,N_eval_min,N_eval_max,g_eval_min,g_eval_max,mu_eval_min,mu_eval_max,dg_dw_min,dg_dw_max,fixed_loss_unweighted,fixed_w_pde,fixed_w_ic,fixed_w_bc,fixed_weighted_loss_pde,fixed_weighted_loss_ic,fixed_weighted_loss_bc,fixed_loss_weighted,bc_eps,flux_left_min,flux_left_max,recruitment_flux_min,recruitment_flux_max,frac_flux_left_clamped,frac_recruitment_flux_clamped,boundary_residual_abs_p95,boundary_residual_abs_max,flux_left_mean,recruitment_flux_mean,flux_mismatch_rms,flux_mismatch_abs_mean,flux_mismatch_abs_p95,flux_mismatch_rel_abs_mean,boundary_residual_rms,grad_norm_pde,grad_norm_ic,grad_norm_bc,grad_abs_max_pde,grad_abs_mean_pde,grad_abs_max_ic,grad_abs_mean_ic,grad_abs_max_bc,grad_abs_mean_bc,grad_norm_max_min_ratio
1,8849.906539645659,0.7655792673444223,9.491744267085087,8839.64921611123,0.8749738666636977,0.8072535368052277,1.1909397285151424,1.1963689619102837,0.0008886575995298391,0.0019411031730684665,0.18729488414711756,0.7124256853969291,13.938563780097493,13.996025401484244,1130944.6106304931,1197833.9014199646,0.0,3.729367361722221,0.187059572329123,0.191046001692778,-0.5187189075944123,1.0100309392419646,8849.906539645659,,,,,,,,1e-30,0.0,0.0,66615520390.257195,69394363361.15295,1.0,0.0,94.03854814094609,94.04062427140212,0.0,67942827356.60775,67948083024.630066,67942827356.60775,69250457952.89934,1.0,94.01940872028088,0.18008034038876328,2.8197045778572556,452.8302957592046,0.028686337663590446,0.0011566402211712185,0.44769674810314763,0.017857951850802186,170.7272848905903,2.7683915472567846,2514.601509424182
50,8778.607530330508,0.7140071205711364,8.693561709357107,8769.199961500579,0.844989420390064,0.7796591137421245,1.1520210580577133,1.1584212005666197,0.00474269989457645,0.029161411488092467,0.18721561088521876,0.7124256853969289,13.478507510064667,14.089773335269966,713906.6639835631,1315560.4562538888,0.0,3.729367361722606,0.187059572329123,0.18987010631254253,-0.5187189075944848,1.0100309392419646,8778.607530330508,,,,,,,,1e-30,0.0,0.0,43848130842.65707,50423739983.043655,1.0,0.0,93.7122886929279,93.72128072235422,0.0,46714867725.09425,46756405940.370476,46714867725.09425,49972581673.892876,1.0,93.64400654340126,0.2316869245136152,3.4474255355169876,507.75855269447084,0.040549188216518935,0.0014365153558849066,0.5819103007038479,0.021020354711809804,175.43257516618235,3.198833040926544,2191.571897121161
100,8689.48172044104,0.6255487947358809,7.3263729013216565,8681.529798744981,0.7909164271501009,0.7297906927345605,1.0832847192286177,1.0963866306552135,0.011905131338545085,0.07878652335939448,0.18715445872292133,0.7124256853969326,12.893895878338169,14.489605542836141,397876.0797362483,1962256.3004948003,0.0,3.729367361725014,0.187059572329123,0.1889434856730262,-0.5187189075945011,1.0100309392419646,8689.48172044104,,,,,,,,1e-30,0.0,0.0,25433954281.269676,34705590576.1321,1.0,0.0,93.32712138862016,93.34771941244759,0.0,29318702613.77215,29448231166.73585,29318702613.77215,33998821295.440918,1.0,93.17472725339732,0.360080657732261,5.416664249978354,640.1126022948152,0.06906960427292912,0.0021308171897839313,1.0266800186151348,0.031705500514253,178.94552032600623,4.246344980605674,1777.692271298762
150,8541.00753424913,0.4798148464100707,5.096437669317222,8535.431281733401,0.6926866870455002,0.6390056155892607,0.9768069676070662,0.9908234972667249,0.024590427912801673,0.17059317254104292,0.18710180728634265,0.7124256853969451,11.961174703856551,15.266609979703702,156556.88476670298,4267804.053362219,0.0,3.7293673617333702,0.187059572329123,0.18802014776128326,-0.5187189075944977,1.0100309392419646,8541.00753424913,,,,,,,,1e-30,0.0,0.0,10416714774.251768,18223029071.347225,1.0,0.0,92.66447943381735,92.70350475458115,0.0,13471490878.765562,13666343448.534845,13471490878.765562,17527011019.162888,1.0,92.38739785129464,0.5146605207454393,7.611268314994612,840.823066356285,0.09424035355225938,0.0028476725010115277,1.3921737016030389,0.041805628297312165,181.4005717604375,5.528926739627472,1633.7430839622762
200,8342.940802921152,0.30724880573055263,2.576443437415901,8340.057110678006,0.5543002848010748,0.5090613728315996,0.8852616677480124,0.9403530247297186,0.04275821878588572,0.3053920861556343,0.18707405024345075,0.712425685396983,10.781031827041142,16.354991818393557,48099.72924332667,12673095.229453724,0.0,3.7293673617625003,0.187059572329123,0.18743448936995097,-0.5187189075944834,1.0100309392419646,8342.940802921152,,,,,,,,1e-30,0.0,0.0,3281081817.3436127,7269267132.553071,1.0,0.0,91.724492182224,91.78447410615523,0.0,4718373724.865283,4858510891.960864,4718373724.865283,6847381224.84491,1.0,91.32391313712968,0.5854550537497786,8.096885591456486,1036.5195967970349,0.09932655642792457,0.002968262900647633,1.368678246854411,0.040805083439995525,181.47872499704832,6.343543694204271,1770.4511903317511
250,8156.619342416181,0.1792437332921115,0.8769064497632523,8155.563192233126,0.42337186171510205,0.3759339366392212,0.7984526545763974,0.9293910553186597,0.0621606267678732,0.44822168090176245,0.18706481764749577,0.7124256853970766,9.72017202860749,17.40720457326495,16650.108778117014,36295509.025115095,0.0,3.7293673618422885,0.187059572329123,0.1872058770365682,-0.518718907594479,1.0100309392419646,8156.619342416181,,,,,,,,1e-30,0.0,0.0,1142779267.6848145,2865744615.562289,1.0,0.0,90.77856804569828,90.85364684388597,0.0,1725007246.3022523,1794376326.5427473,1725007246.3022523,2659260704.683155,1.0,90.30815684218744,0.5014368920792285,5.995174339991338,1161.5935028967374,0.07990868831938917,0.0022842711944486968,0.956479077357654,0.027587700623931535,180.19295670477658,6.338298114647164,2316.5297991540724
300,8033.9421560292685,0.12226523253741206,0.23379996628188487,8033.586090830449,0.3496644570690765,0.28297144209909764,0.7378973542296532,0.9256349310597926,0.07730463893936827,0.553407017419607,0.18706223790071447,0.7124256853972173,9.03902427817797,18.1225711142867,8425.55204900191,74221996.59606467,0.0,3.729367361969928,0.187059572329123,0.1871361096575132,-0.5187189075944929,1.0100309392419646,8033.9421560292685,,,,,,,,1e-30,0.0,0.0,576868097.9940706,1504333629.7399457,1.0,0.0,90.12618047583518,90.20916865597971,0.0,878605645.5586041,917342224.4297546,878605645.5586041,1385032803.076775,1.0,89.63027441010347,0.35046651953995567,3.1444148771474683,1221.231124444193,0.0524479577523008,0.0013876871861553258,0.47930008435387944,0.013320515211254118,179.04604096165613,6.017693590087431,3484.5871327374084
350,7974.038400389782,0.1056560446411779,0.09479391867469576,7973.837950426466,0.32504775747754033,0.2554652657764678,0.7142698951350588,0.9244410416293187,0.08586684604037717,0.6070646150901153,0.18706148290515331,0.7124256853973286,8.707141723793452,18.475383520408897,6045.936810283393,105622663.25939272,0.0,3.729367362075947,0.187059572329123,0.18711514760719947,-0.5187189075945159,1.0100309392419646,7974.038400389782,,,,,,,,1e-30,0.0,0.0,412869492.63804966,1093512705.6926575,1.0,0.0,89.80320184196046,89.89021380712408,0.0,629992846.6721146,658805785.8603907,629992846.6721146,1002783198.9731019,1.0,89.29634903189752,0.24756039704579952,1.3300990038086593,1245.050566274407,0.03486089221339,0.0008312418898987841,0.19417030851865744,0.005109346152347,178.43917140641048,5.809012245136545,5029.280050977089
400,7949.060468670631,0.10150419582621782,0.07454534471696707,7948.884419130088,0.3185972313536604,0.2505701559964054,0.7009932830325227,0.9230190859413305,0.09012416239356809,0.6262978555364764,0.18706123600762878,0.7124256853973756,8.56461442270834,18.609630268854236,5242.818019340318,120797997.80361392,0.0,3.729367362126774,0.187059572329123,0.18710852689067142,-0.5187189075945515,1.0100309392419646,7949.060468670631,,,,,,,,1e-30,0.0,0.0,357491458.5363062,963635272.523621,1.0,0.0,89.67389804831319,89.76377622279998,0.0,548625029.7308899,574705900.1482381,548625029.7308899,881175188.889315,1.0,89.15651641428173,0.20582506767873215,0.6003575296028416,1253.6096667287625,0.027910105779501,0.0006303871818761524,0.07930936591175074,0.0022444578590385565,178.17938577680823,5.730207029541947,6090.655918964615
450,7938.82354007207,0.10035739199020684,0.07116595823403588,7938.652016721845,0.31679234837698783,0.24977460835703452,0.6928353977895946,0.9213343309048522,0.09231911783466949,0.6304217553754532,0.1870611459111263,0.7124256853973847,8.501316140778485,18.651380499760705,4921.24162660132,125948103.08105922,0.0,3.7293673621433503,0.187059572329123,0.18710642134085545,-0.5187189075945856,1.0100309392419646,7938.82354007207,,,,,,,,1e-30,0.0,0.0,335323907.6519835,922402353.2720838,1.0,0.0,89.62772665218274,89.72004486798625,0.0,518970593.1212818,544718042.4735836,518970593.1212818,841434245.3200583,1.0,89.09911344520688,0.19497221416205973,0.4294404517112948,1256.635040866523,0.02610656284889306,0.0005987097865412521,0.04825751040329749,0.0020082302915181245,178.07178813849777,5.719816369740293,6445.200647011248
