"weight","time","species","N"
0.001,0,"N.pout",97586765.2183366
0.001,1,"N.pout",25075867946261
0.001,2,"N.pout",213943700838081
0.001,3,"N.pout",215599733817426
0.001,4,"N.pout",215076317153661
0.001,5,"N.pout",214919123108645
0.001,6,"N.pout",214871987804806
0.001,7,"N.pout",214860379311973
0.001,8,"N.pout",214859819501173
0.001,9,"N.pout",214860824519737
0.001,10,"N.pout",214861223193553
0.001,11,"N.pout",214861191081377
0.001,12,"N.pout",214861060956697
0.001,13,"N.pout",214860955420358
0.001,14,"N.pout",214860888325662
0.001,15,"N.pout",214860847817083
0.001,16,"N.pout",214860823011412
0.001,17,"N.pout",214860807430764
0.001,18,"N.pout",214860797487945
0.001,19,"N.pout",214860791107014
0.001,20,"N.pout",214860787010053
0.001,21,"N.pout",214860784381969
0.001,22,"N.pout",214860782697396
0.001,23,"N.pout",214860781617944
0.001,24,"N.pout",214860780926276
0.001,25,"N.pout",214860780483061
0.001,26,"N.pout",214860780199036
0.001,27,"N.pout",214860780017019
0.001,28,"N.pout",214860779900372
0.001,29,"N.pout",214860779825618
0.001,30,"N.pout",214860779777711
0.001,31,"N.pout",214860779747010
0.001,32,"N.pout",214860779727334
0.001,33,"N.pout",214860779714725
0.001,34,"N.pout",214860779706644
0.001,35,"N.pout",214860779701466
0.001,36,"N.pout",214860779698147
0.001,37,"N.pout",214860779696020
0.001,38,"N.pout",214860779694657
0.001,39,"N.pout",214860779693784
0.001,40,"N.pout",214860779693224
0.00112,0,"N.pout",86704995.694967
0.00112,1,"N.pout",22739199018408.1
0.00112,2,"N.pout",195276293255999
0.00112,3,"N.pout",196785378888560
0.00112,4,"N.pout",196355181932368
0.00112,5,"N.pout",196215622779092
0.00112,6,"N.pout",196172944050026
0.00112,7,"N.pout",196161759590010
0.00112,8,"N.pout",196160881681729
0.00112,9,"N.pout",196161711337750
0.00112,10,"N.pout",196162104947110
0.00112,11,"N.pout",196162120509319
0.00112,12,"N.pout",196162033925521
0.00112,13,"N.pout",196161957287890
0.00112,14,"N.pout",196161907891409
0.00112,15,"N.pout",196161878233611
0.00112,16,"N.pout",196161860227099
0.00112,17,"N.pout",196161848977520
0.00112,18,"N.pout",196161841812657
0.00112,19,"N.pout",196161837215587
0.00112,20,"N.pout",196161834263274
0.00112,21,"N.pout",196161832369076
0.00112,22,"N.pout",196161831154833
0.00112,23,"N.pout",196161830376771
0.00112,24,"N.pout",196161829878236
0.00112,25,"N.pout",196161829558787
0.00112,26,"N.pout",196161829354078
0.00112,27,"N.pout",196161829222892
0.00112,28,"N.pout",196161829138821
0.00112,29,"N.pout",196161829084944
0.00112,30,"N.pout",196161829050416
0.00112,31,"N.pout",196161829028288
0.00112,32,"N.pout",196161829014107
0.00112,33,"N.pout",196161829005020
0.00112,34,"N.pout",196161828999195
0.00112,35,"N.pout",196161828995463
0.00112,36,"N.pout",196161828993071
0.00112,37,"N.pout",196161828991538
0.00112,38,"N.pout",196161828990556
0.00112,39,"N.pout",196161828989926
0.00112,40,"N.pout",196161828989523
0.00126,0,"N.pout",77036637.7207435
0.00126,1,"N.pout",20610580456643.7
0.00126,2,"N.pout",178135403579160
0.00126,3,"N.pout",179488976935451
0.00126,4,"N.pout",179146570879702
0.00126,5,"N.pout",179023865454115
0.00126,6,"N.pout",178985526999106
0.00126,7,"N.pout",178974804654118
0.00126,8,"N.pout",178973643201213
0.00126,9,"N.pout",178974307050172
0.00126,10,"N.pout",178974692944009
0.00126,11,"N.pout",178974751579818
0.00126,12,"N.pout",178974705133444
0.00126,13,"N.pout",178974655292898
0.00126,14,"N.pout",178974622331105
0.00126,15,"N.pout",178974602746228
0.00126,16,"N.pout",178974591047406
0.00126,17,"N.pout",178974583814172
0.00126,18,"N.pout",178974579224995
0.00126,19,"N.pout",178974576281861
0.00126,20,"N.pout",178974574390846
0.00126,21,"N.pout",178974573177106
0.00126,22,"N.pout",178974572398955
0.00126,23,"N.pout",178974571900341
0.00126,24,"N.pout",178974571580880
0.00126,25,"N.pout",178974571376188
0.00126,26,"N.pout",178974571245021
0.00126,27,"N.pout",178974571160966
0.00126,28,"N.pout",178974571107099
0.00126,29,"N.pout",178974571072578
0.00126,30,"N.pout",178974571050454
0.00126,31,"N.pout",178974571036277
0.00126,32,"N.pout",178974571027191
0.00126,33,"N.pout",178974571021368
0.00126,34,"N.pout",178974571017636
0.00126,35,"N.pout",178974571015245
0.00126,36,"N.pout",178974571013712
0.00126,37,"N.pout",178974571012730
0.00126,38,"N.pout",178974571012101
0.00126,39,"N.pout",178974571011697
0.00126,40,"N.pout",178974571011439
0.00142,0,"N.pout",68446385.3985471
0.00142,1,"N.pout",18672057352600
0.00142,2,"N.pout",162401076649052
0.00142,3,"N.pout",163590950281021
0.00142,4,"N.pout",163330974669971
0.00142,5,"N.pout",163224391281616
0.00142,6,"N.pout",163190292833640
0.00142,7,"N.pout",163180075938539
0.00142,8,"N.pout",163178666447376
0.00142,9,"N.pout",163179173904603
0.00142,10,"N.pout",163179549249337
0.00142,11,"N.pout",163179646280213
0.00142,12,"N.pout",163179636544735
0.00142,13,"N.pout",163179611393080
0.00142,14,"N.pout",163179593599347
0.00142,15,"N.pout",163179583307233
0.00142,16,"N.pout",163179577422894
0.00142,17,"N.pout",163179573890059
0.00142,18,"N.pout",163179571673494
0.00142,19,"N.pout",163179570253854
0.00142,20,"N.pout",163179569340455
0.00142,21,"N.pout",163179568753532
0.00142,22,"N.pout",163179568377099
0.00142,23,"N.pout",163179568135907
0.00142,24,"N.pout",163179567981403
0.00142,25,"N.pout",163179567882422
0.00142,26,"N.pout",163179567819001
0.00142,27,"N.pout",163179567778360
0.00142,28,"N.pout",163179567752316
0.00142,29,"N.pout",163179567735626
0.00142,30,"N.pout",163179567724930
0.00142,31,"N.pout",163179567718075
0.00142,32,"N.pout",163179567713683
0.00142,33,"N.pout",163179567710867
0.00142,34,"N.pout",163179567709063
0.00142,35,"N.pout",163179567707907
0.00142,36,"N.pout",163179567707166
0.00142,37,"N.pout",163179567706691
0.00142,38,"N.pout",163179567706387
0.00142,39,"N.pout",163179567706192
0.00142,40,"N.pout",163179567706067
0.00159,0,"N.pout",60814020.6106755
0.00159,1,"N.pout",16907199737430.9
0.00159,2,"N.pout",147963033351862
0.00159,3,"N.pout",148981622954727
0.00159,4,"N.pout",148798729825803
0.00159,5,"N.pout",148707571421670
0.00159,6,"N.pout",148677623872619
0.00159,7,"N.pout",148667959828502
0.00159,8,"N.pout",148666338713944
0.00159,9,"N.pout",148666699165801
0.00159,10,"N.pout",148667060988237
0.00159,11,"N.pout",148667191654082
0.00159,12,"N.pout",148667215165505
0.00159,13,"N.pout",148667212576233
0.00159,14,"N.pout",148667208673318
0.00159,15,"N.pout",148667206886947
0.00159,16,"N.pout",148667206319339
0.00159,17,"N.pout",148667206167980
0.00159,18,"N.pout",148667206119023
0.00159,19,"N.pout",148667206091193
0.00159,20,"N.pout",148667206070934
0.00159,21,"N.pout",148667206056678
0.00159,22,"N.pout",148667206047263
0.00159,23,"N.pout",148667206041256
0.00159,24,"N.pout",148667206037462
